,Lens ID_Train,Word,Count
1,024-276-265-590-973,mani,1
1,024-276-265-590-973,detail,1
1,024-276-265-590-973,equival,1
1,024-276-265-590-973,diverg,1
1,024-276-265-590-973,describ,1
1,024-276-265-590-973,discuss,1
1,024-276-265-590-973,display,1
1,024-276-265-590-973,manag,1
1,024-276-265-590-973,technolog,1
1,024-276-265-590-973,specialist,1
1,024-276-265-590-973,seldom,1
1,024-276-265-590-973,ever,1
1,024-276-265-590-973,far,1
1,024-276-265-590-973,comment,1
1,024-276-265-590-973,whether,1
1,024-276-265-590-973,particular,1
1,024-276-265-590-973,respect,1
1,024-276-265-590-973,speaker,1
1,024-276-265-590-973,premis,1
1,024-276-265-590-973,equal,1
1,024-276-265-590-973,review,1
1,024-276-265-590-973,offer,1
1,024-276-265-590-973,special,1
1,024-276-265-590-973,thesauri,1
1,024-276-265-590-973,introduc,1
1,024-276-265-590-973,sociocultur,1
1,024-276-265-590-973,even,1
1,024-276-265-590-973,polit,1
1,024-276-265-590-973,natur,1
1,024-276-265-590-973,promin,1
1,024-276-265-590-973,featur,1
1,024-276-265-590-973,daili,1
1,024-276-265-590-973,life,1
1,024-276-265-590-973,design,1
1,024-276-265-590-973,theori,1
2,056-843-928-028-56X,linguist,4
2,056-843-928-028-56X,otlet,2
2,056-843-928-028-56X,objectiv,2
2,056-843-928-028-56X,atom,2
2,056-843-928-028-56X,world,2
2,056-843-928-028-56X,import,1
2,056-843-928-028-56X,often,1
2,056-843-928-028-56X,neglect,1
2,056-843-928-028-56X,objectivist,1
2,056-843-928-028-56X,strand,1
2,056-843-928-028-56X,paul,1
2,056-843-928-028-56X,1868,1
2,056-843-928-028-56X,1944,1
2,056-843-928-028-56X,think,1
2,056-843-928-028-56X,consist,1
2,056-843-928-028-56X,view,1
2,056-843-928-028-56X,uniqu,1
2,056-843-928-028-56X,correspond,1
2,056-843-928-028-56X,certain,1
2,056-843-928-028-56X,discret,1
2,056-843-928-028-56X,defin,1
2,056-843-928-028-56X,element,1
2,056-843-928-028-56X,combin,1
2,056-843-928-028-56X,object,1
2,056-843-928-028-56X,captur,1
2,056-843-928-028-56X,order,1
2,056-843-928-028-56X,analysi,1
2,056-843-928-028-56X,temper,1
2,056-843-928-028-56X,past,1
2,056-843-928-028-56X,claim,1
2,056-843-928-028-56X,influenc,1
2,056-843-928-028-56X,positiv,1
3,036-074-742-305-080,imag,11
3,036-074-742-305-080,retriev,6
3,036-074-742-305-080,larg,3
3,036-074-742-305-080,social,3
3,036-074-742-305-080,upload,2
3,036-074-742-305-080,share,2
3,036-074-742-305-080,web,2
3,036-074-742-305-080,collect,2
3,036-074-742-305-080,assign,2
3,036-074-742-305-080,profession,2
3,036-074-742-305-080,number,2
3,036-074-742-305-080,system,2
3,036-074-742-305-080,behaviour,2
3,036-074-742-305-080,manag,2
3,036-074-742-305-080,increas,1
3,036-074-742-305-080,amount,1
3,036-074-742-305-080,properli,1
3,036-074-742-305-080,store,1
3,036-074-742-305-080,easili,1
3,036-074-742-305-080,key,1
3,036-074-742-305-080,role,1
3,036-074-742-305-080,difficult,1
3,036-074-742-305-080,undertak,1
3,036-074-742-305-080,qualiti,1
3,036-074-742-305-080,potenti,1
3,036-074-742-305-080,futur,1
3,036-074-742-305-080,other,1
3,036-074-742-305-080,reli,1
3,036-074-742-305-080,keyword,1
3,036-074-742-305-080,practic,1
3,036-074-742-305-080,option,1
3,036-074-742-305-080,due,1
3,036-074-742-305-080,resourc,1
3,036-074-742-305-080,constraint,1
3,036-074-742-305-080,although,1
3,036-074-742-305-080,content,1
3,036-074-742-305-080,launch,1
3,036-074-742-305-080,demonstr,1
3,036-074-742-305-080,suffici,1
3,036-074-742-305-080,util,1
3,036-074-742-305-080,scale,1
3,036-074-742-305-080,sourc,1
3,036-074-742-305-080,usual,1
3,036-074-742-305-080,supplement,1
3,036-074-742-305-080,exist,1
3,036-074-742-305-080,text,1
3,036-074-742-305-080,altern,1
3,036-074-742-305-080,major,1
3,036-074-742-305-080,type,1
3,036-074-742-305-080,photo,1
3,036-074-742-305-080,network,1
3,036-074-742-305-080,label,1
3,036-074-742-305-080,game,1
3,036-074-742-305-080,analyz,1
3,036-074-742-305-080,applic,1
3,036-074-742-305-080,evalu,1
3,036-074-742-305-080,semant,1
3,036-074-742-305-080,view,1
3,036-074-742-305-080,investig,1
3,036-074-742-305-080,whether,1
3,036-074-742-305-080,find,1
3,036-074-742-305-080,shown,1
3,036-074-742-305-080,gener,1
3,036-074-742-305-080,sizeabl,1
3,036-074-742-305-080,classifi,1
3,036-074-742-305-080,interpret,1
3,036-074-742-305-080,adjust,1
3,036-074-742-305-080,natur,1
3,036-074-742-305-080,depend,1
3,036-074-742-305-080,guidelin,1
4,064-751-648-054-001,model,2
4,064-751-648-054-001,understand,2
4,064-751-648-054-001,system,2
4,064-751-648-054-001,necess,1
4,064-751-648-054-001,valu,1
4,064-751-648-054-001,shape,1
4,064-751-648-054-001,human,1
4,064-751-648-054-001,mind,1
4,064-751-648-054-001,order,1
4,064-751-648-054-001,support,1
4,064-751-648-054-001,activ,1
4,064-751-648-054-001,control,1
4,064-751-648-054-001,outlin,1
4,064-751-648-054-001,map,1
4,064-751-648-054-001,respect,1
4,064-751-648-054-001,function,1
4,064-751-648-054-001,represent,1
4,064-751-648-054-001,advanc,1
4,064-751-648-054-001,appear,1
4,064-751-648-054-001,challeng,1
4,064-751-648-054-001,chanc,1
4,064-751-648-054-001,futur,1
4,064-751-648-054-001,design,1
4,064-751-648-054-001,dynam,1
4,064-751-648-054-001,learn,1
4,064-751-648-054-001,evolv,1
4,064-751-648-054-001,togeth,1
4,064-751-648-054-001,repres,1
4,064-751-648-054-001,environ,1
5,135-514-499-218-272,represent,3
5,135-514-499-218-272,role,3
5,135-514-499-218-272,profession,3
5,135-514-499-218-272,system,3
5,135-514-499-218-272,jen,2
5,135-514-499-218-272,erik,2
5,135-514-499-218-272,mai,2
5,135-514-499-218-272,dean,2
5,135-514-499-218-272,question,2
5,135-514-499-218-272,conceptu,2
5,135-514-499-218-272,foundat,2
5,135-514-499-218-272,interpret,2
5,135-514-499-218-272,analysi,2
5,135-514-499-218-272,explor,2
5,135-514-499-218-272,trust,2
5,135-514-499-218-272,folksonomi,2
5,135-514-499-218-272,done,2
5,135-514-499-218-272,notion,2
5,135-514-499-218-272,collabor,2
5,135-514-499-218-272,chang,2
5,135-514-499-218-272,associ,1
5,135-514-499-218-272,professor,1
5,135-514-499-218-272,faculti,1
5,135-514-499-218-272,univers,1
5,135-514-499-218-272,toronto,1
5,135-514-499-218-272,previous,1
5,135-514-499-218-272,serv,1
5,135-514-499-218-272,vice,1
5,135-514-499-218-272,act,1
5,135-514-499-218-272,research,1
5,135-514-499-218-272,interest,1
5,135-514-499-218-272,broad,1
5,135-514-499-218-272,area,1
5,135-514-499-218-272,current,1
5,135-514-499-218-272,scholarship,1
5,135-514-499-218-272,seek,1
5,135-514-499-218-272,establish,1
5,135-514-499-218-272,epistemolog,1
5,135-514-499-218-272,accept,1
5,135-514-499-218-272,plu,1
5,135-514-499-218-272,raliti,1
5,135-514-499-218-272,across,1
5,135-514-499-218-272,commun,1
5,135-514-499-218-272,publish,1
5,135-514-499-218-272,methodolog,1
5,135-514-499-218-272,sue,1
5,135-514-499-218-272,semiot,1
5,135-514-499-218-272,theoret,1
5,135-514-499-218-272,framework,1
5,135-514-499-218-272,ing,1
5,135-514-499-218-272,theori,1
5,135-514-499-218-272,domain,1
5,135-514-499-218-272,cognit,1
5,135-514-499-218-272,recent,1
5,135-514-499-218-272,public,1
5,135-514-499-218-272,new,1
5,135-514-499-218-272,order,1
5,135-514-499-218-272,digit,1
5,135-514-499-218-272,disord,1
5,135-514-499-218-272,refer,1
5,135-514-499-218-272,abstract,1
5,135-514-499-218-272,histor,1
5,135-514-499-218-272,profe,1
5,135-514-499-218-272,sional,1
5,135-514-499-218-272,rise,1
5,135-514-499-218-272,social,1
5,135-514-499-218-272,media,1
5,135-514-499-218-272,spread,1
5,135-514-499-218-272,entail,1
5,135-514-499-218-272,goal,1
5,135-514-499-218-272,valu,1
5,135-514-499-218-272,environ,1
5,135-514-499-218-272,peopl,1
5,135-514-499-218-272,particip,1
5,135-514-499-218-272,repr,1
5,135-514-499-218-272,sentat,1
5,135-514-499-218-272,tradit,1
5,135-514-499-218-272,argu,1
5,135-514-499-218-272,must,1
5,135-514-499-218-272,design,1
5,135-514-499-218-272,facilit,1
5,135-514-499-218-272,come,1
5,135-514-499-218-272,collect,1
5,135-514-499-218-272,mean,1
5,135-514-499-218-272,product,1
6,164-013-219-239-121,standard,5
6,164-013-219-239-121,mani,1
6,164-013-219-239-121,exist,1
6,164-013-219-239-121,often,1
6,164-013-219-239-121,inconsist,1
6,164-013-219-239-121,lead,1
6,164-013-219-239-121,confus,1
6,164-013-219-239-121,practic,1
6,164-013-219-239-121,articl,1
6,164-013-219-239-121,inventori,1
6,164-013-219-239-121,current,1
6,164-013-219-239-121,discuss,1
6,164-013-219-239-121,applic,1
6,164-013-219-239-121,new,1
6,164-013-219-239-121,insight,1
6,164-013-219-239-121,gain,1
6,164-013-219-239-121,examin,1
6,164-013-219-239-121,possibl,1
6,164-013-219-239-121,suggest,1
6,164-013-219-239-121,relat,1
6,164-013-219-239-121,entiti,1
6,164-013-219-239-121,refer,1
7,101-786-473-793-24X,homosexu,4
7,101-786-473-793-24X,design,4
7,101-786-473-793-24X,distinct,3
7,101-786-473-793-24X,about,3
7,101-786-473-793-24X,document,3
7,101-786-473-793-24X,literari,3
7,101-786-473-793-24X,system,3
7,101-786-473-793-24X,tension,3
7,101-786-473-793-24X,question,2
7,101-786-473-793-24X,content,2
7,101-786-473-793-24X,mean,2
7,101-786-473-793-24X,particularli,2
7,101-786-473-793-24X,relat,2
7,101-786-473-793-24X,critic,2
7,101-786-473-793-24X,access,2
7,101-786-473-793-24X,gay,2
7,101-786-473-793-24X,lesbian,2
7,101-786-473-793-24X,expect,2
7,101-786-473-793-24X,refer,2
7,101-786-473-793-24X,perspect,2
7,101-786-473-793-24X,research,1
7,101-786-473-793-24X,come,1
7,101-786-473-793-24X,theoret,1
7,101-786-473-793-24X,innat,1
7,101-786-473-793-24X,put,1
7,101-786-473-793-24X,relev,1
7,101-786-473-793-24X,beyond,1
7,101-786-473-793-24X,concern,1
7,101-786-473-793-24X,particular,1
7,101-786-473-793-24X,frequent,1
7,101-786-473-793-24X,address,1
7,101-786-473-793-24X,explor,1
7,101-786-473-793-24X,debat,1
7,101-786-473-793-24X,implic,1
7,101-786-473-793-24X,commun,1
7,101-786-473-793-24X,examin,1
7,101-786-473-793-24X,herman,1
7,101-786-473-793-24X,melvil,1
7,101-786-473-793-24X,billi,1
7,101-786-473-793-24X,budd,1
7,101-786-473-793-24X,theori,1
7,101-786-473-793-24X,eve,1
7,101-786-473-793-24X,kosofski,1
7,101-786-473-793-24X,sedgwick,1
7,101-786-473-793-24X,epistemolog,1
7,101-786-473-793-24X,closet,1
7,101-786-473-793-24X,1990,1
7,101-786-473-793-24X,expos,1
7,101-786-473-793-24X,vocabulari,1
7,101-786-473-793-24X,face,1
7,101-786-473-793-24X,first,1
7,101-786-473-793-24X,essentialist,1
7,101-786-473-793-24X,constructivist,1
7,101-786-473-793-24X,view,1
7,101-786-473-793-24X,affect,1
7,101-786-473-793-24X,choic,1
7,101-786-473-793-24X,categori,1
7,101-786-473-793-24X,second,1
7,101-786-473-793-24X,minorit,1
7,101-786-473-793-24X,univers,1
7,101-786-473-793-24X,third,1
7,101-786-473-793-24X,redefin,1
7,101-786-473-793-24X,stabl,1
7,101-786-473-793-24X,inescap,1
7,101-786-473-793-24X,social,1
7,101-786-473-793-24X,ideolog,1
7,101-786-473-793-24X,therefor,1
7,101-786-473-793-24X,context,1
7,101-786-473-793-24X,intens,1
7,101-786-473-793-24X,scrutini,1
7,101-786-473-793-24X,persist,1
7,101-786-473-793-24X,controversi,1
8,050-571-717-599-069,cultur,5
8,050-571-717-599-069,presumpt,3
8,050-571-717-599-069,western,3
8,050-571-717-599-069,examin,2
8,050-571-717-599-069,anim,2
8,050-571-717-599-069,logic,2
8,050-571-717-599-069,classificatori,2
8,050-571-717-599-069,parmenid,1
8,050-571-717-599-069,fragment,1
8,050-571-717-599-069,plato,1
8,050-571-717-599-069,sophist,1
8,050-571-717-599-069,aristotl,1
8,050-571-717-599-069,prior,1
8,050-571-717-599-069,analyt,1
8,050-571-717-599-069,gener,1
8,050-571-717-599-069,identifi,1
8,050-571-717-599-069,underli,1
8,050-571-717-599-069,classic,1
8,050-571-717-599-069,method,1
8,050-571-717-599-069,foucauldian,1
8,050-571-717-599-069,discours,1
8,050-571-717-599-069,analysi,1
8,050-571-717-599-069,notion,1
8,050-571-717-599-069,mutual,1
8,050-571-717-599-069,exclus,1
8,050-571-717-599-069,categori,1
8,050-571-717-599-069,teleolog,1
8,050-571-717-599-069,sens,1
8,050-571-717-599-069,linear,1
8,050-571-717-599-069,progress,1
8,050-571-717-599-069,toward,1
8,050-571-717-599-069,goal,1
8,050-571-717-599-069,hierarchi,1
8,050-571-717-599-069,divis,1
8,050-571-717-599-069,domin,1
8,050-571-717-599-069,class,1
8,050-571-717-599-069,other,1
8,050-571-717-599-069,link,1
8,050-571-717-599-069,thought,1
8,050-571-717-599-069,tradit,1
8,050-571-717-599-069,purpos,1
8,050-571-717-599-069,make,1
8,050-571-717-599-069,connect,1
8,050-571-717-599-069,investig,1
8,050-571-717-599-069,specif,1
8,050-571-717-599-069,widespread,1
8,050-571-717-599-069,practic,1
8,050-571-717-599-069,step,1
8,050-571-717-599-069,larger,1
8,050-571-717-599-069,construct,1
8,050-571-717-599-069,system,1
8,050-571-717-599-069,incompat,1
8,050-571-717-599-069,margin,1
8,050-571-717-599-069,element,1
9,100-935-111-075-54X,activ,3
9,100-935-111-075-54X,document,3
9,100-935-111-075-54X,comput,2
9,100-935-111-075-54X,theori,2
9,100-935-111-075-54X,challeng,2
9,100-935-111-075-54X,understand,2
9,100-935-111-075-54X,descript,1
9,100-935-111-075-54X,perform,1
9,100-935-111-075-54X,databas,1
9,100-935-111-075-54X,archiv,1
9,100-935-111-075-54X,done,1
9,100-935-111-075-54X,librarian,1
9,100-935-111-075-54X,archivist,1
9,100-935-111-075-54X,specialist,1
9,100-935-111-075-54X,algorithm,1
9,100-935-111-075-54X,concern,1
9,100-935-111-075-54X,natur,1
9,100-935-111-075-54X,qualiti,1
9,100-935-111-075-54X,process,1
9,100-935-111-075-54X,system,1
9,100-935-111-075-54X,represent,1
9,100-935-111-075-54X,concept,1
9,100-935-111-075-54X,exist,1
9,100-935-111-075-54X,histor,1
9,100-935-111-075-54X,theoret,1
9,100-935-111-075-54X,relat,1
9,100-935-111-075-54X,view,1
9,100-935-111-075-54X,cognit,1
9,100-935-111-075-54X,languag,1
9,100-935-111-075-54X,social,1
9,100-935-111-075-54X,tend,1
9,100-935-111-075-54X,answer,1
9,100-935-111-075-54X,question,1
9,100-935-111-075-54X,profession,1
9,100-935-111-075-54X,often,1
9,100-935-111-075-54X,concentr,1
9,100-935-111-075-54X,appli,1
9,100-935-111-075-54X,new,1
9,100-935-111-075-54X,technolog,1
9,100-935-111-075-54X,standard,1
9,100-935-111-075-54X,seen,1
9,100-935-111-075-54X,involv,1
9,100-935-111-075-54X,interpret,1
9,100-935-111-075-54X,analysi,1
9,100-935-111-075-54X,mean,1
9,100-935-111-075-54X,critic,1
9,100-935-111-075-54X,lack,1
9,100-935-111-075-54X,substant,1
9,100-935-111-075-54X,intellectu,1
9,100-935-111-075-54X,content,1
9,100-935-111-075-54X,tradit,1
9,100-935-111-075-54X,human,1
9,100-935-111-075-54X,increasingli,1
9,100-935-111-075-54X,retriev,1
9,100-935-111-075-54X,techniqu,1
9,100-935-111-075-54X,appropri,1
9,100-935-111-075-54X,investig,1
9,100-935-111-075-54X,rel,1
9,100-935-111-075-54X,contribut,1
9,100-935-111-075-54X,current,1
9,100-935-111-075-54X,make,1
9,100-935-111-075-54X,imper,1
9,100-935-111-075-54X,reconsid,1
9,100-935-111-075-54X,offer,1
9,100-935-111-075-54X,explicit,1
10,190-805-304-109-100,domain,4
10,190-805-304-109-100,hjorland,4
10,190-805-304-109-100,framework,3
10,190-805-304-109-100,view,3
10,190-805-304-109-100,analyt,2
10,190-805-304-109-100,concept,2
10,190-805-304-109-100,perspect,2
10,190-805-304-109-100,philosoph,1
10,190-805-304-109-100,propos,1
10,190-805-304-109-100,pragmat,1
10,190-805-304-109-100,doctrin,1
10,190-805-304-109-100,peirc,1
10,190-805-304-109-100,basic,1
10,190-805-304-109-100,theoret,1
10,190-805-304-109-100,discuss,1
10,190-805-304-109-100,relat,1
10,190-805-304-109-100,qualit,1
10,190-805-304-109-100,branch,1
10,190-805-304-109-100,theori,1
10,190-805-304-109-100,scope,1
10,190-805-304-109-100,albrechtsen,1
10,190-805-304-109-100,1995,1
10,190-805-304-109-100,2002,1
10,190-805-304-109-100,2004,1
10,190-805-304-109-100,promot,1
10,190-805-304-109-100,gener,1
10,190-805-304-109-100,analyz,1
10,190-805-304-109-100,howev,1
10,190-805-304-109-100,least,1
10,190-805-304-109-100,defin,1
10,190-805-304-109-100,activ,1
10,190-805-304-109-100,perform,1
10,190-805-304-109-100,human,1
10,190-805-304-109-100,actor,1
10,190-805-304-109-100,specialist,1
10,190-805-304-109-100,secondli,1
10,190-805-304-109-100,inher,1
10,190-805-304-109-100,self,1
10,190-805-304-109-100,structur,1
10,190-805-304-109-100,latter,1
10,190-805-304-109-100,investig,1
11,031-650-207-787-672,context,4
11,031-650-207-787-672,epistemolog,3
11,031-650-207-787-672,research,2
11,031-650-207-787-672,contextu,2
11,031-650-207-787-672,object,2
11,031-650-207-787-672,concept,2
11,031-650-207-787-672,methodolog,2
11,031-650-207-787-672,ontolog,2
11,031-650-207-787-672,know,2
11,031-650-207-787-672,principl,2
11,031-650-207-787-672,level,2
11,031-650-207-787-672,last,1
11,031-650-207-787-672,decad,1
11,031-650-207-787-672,increas,1
11,031-650-207-787-672,interest,1
11,031-650-207-787-672,depend,1
11,031-650-207-787-672,natur,1
11,031-650-207-787-672,human,1
11,031-650-207-787-672,maintain,1
11,031-650-207-787-672,avail,1
11,031-650-207-787-672,neutral,1
11,031-650-207-787-672,alway,1
11,031-650-207-787-672,interwoven,1
11,031-650-207-787-672,process,1
11,031-650-207-787-672,product,1
11,031-650-207-787-672,prerequisit,1
11,031-650-207-787-672,knower,1
11,031-650-207-787-672,first,1
11,031-650-207-787-672,step,1
11,031-650-207-787-672,toward,1
11,031-650-207-787-672,systemat,1
11,031-650-207-787-672,epistem,1
11,031-650-207-787-672,consid,1
11,031-650-207-787-672,onto,1
11,031-650-207-787-672,logic,1
11,031-650-207-787-672,dimens,1
11,031-650-207-787-672,current,1
11,031-650-207-787-672,howev,1
11,031-650-207-787-672,either,1
11,031-650-207-787-672,fulli,1
11,031-650-207-787-672,implement,1
11,031-650-207-787-672,ambit,1
11,031-650-207-787-672,transcend,1
11,031-650-207-787-672,univers,1
11,031-650-207-787-672,seem,1
11,031-650-207-787-672,abandon,1
11,031-650-207-787-672,combin,1
11,031-650-207-787-672,argu,1
11,031-650-207-787-672,phenom,1
11,031-650-207-787-672,stipul,1
11,031-650-207-787-672,leon,1
11,031-650-207-787-672,manifesto,1
11,031-650-207-787-672,exampl,1
11,031-650-207-787-672,requir,1
11,031-650-207-787-672,revis,1
11,031-650-207-787-672,underli,1
11,031-650-207-787-672,phenomenon,1
11,031-650-207-787-672,relat,1
11,031-650-207-787-672,known,1
11,031-650-207-787-672,constitut,1
11,031-650-207-787-672,applic,1
11,031-650-207-787-672,specif,1
11,031-650-207-787-672,meth,1
11,031-650-207-787-672,tradit,1
11,031-650-207-787-672,document,1
11,031-650-207-787-672,often,1
11,031-650-207-787-672,reli,1
11,031-650-207-787-672,ture,1
11,031-650-207-787-672,novel,1
11,031-650-207-787-672,propos,1
11,031-650-207-787-672,name,1
11,031-650-207-787-672,integr,1
11,031-650-207-787-672,plural,1
12,187-701-961-076-877,intellectu,3
12,187-701-961-076-877,particip,3
12,187-701-961-076-877,cultur,2
12,187-701-961-076-877,commun,2
12,187-701-961-076-877,disciplin,2
12,187-701-961-076-877,authorship,2
12,187-701-961-076-877,identifi,2
12,187-701-961-076-877,gener,2
12,187-701-961-076-877,intern,2
12,187-701-961-076-877,countri,2
12,187-701-961-076-877,interdisciplinari,2
12,187-701-961-076-877,consid,1
12,187-701-961-076-877,distinct,1
12,187-701-961-076-877,disciplinari,1
12,187-701-961-076-877,focu,1
12,187-701-961-076-877,strong,1
12,187-701-961-076-877,connect,1
12,187-701-961-076-877,domain,1
12,187-701-961-076-877,philosophi,1
12,187-701-961-076-877,comput,1
12,187-701-961-076-877,psycholog,1
12,187-701-961-076-877,sociolog,1
12,187-701-961-076-877,given,1
12,187-701-961-076-877,inher,1
12,187-701-961-076-877,interdisciplinar,1
12,187-701-961-076-877,ask,1
12,187-701-961-076-877,might,1
12,187-701-961-076-877,map,1
12,187-701-961-076-877,physic,1
12,187-701-961-076-877,geographi,1
12,187-701-961-076-877,look,1
12,187-701-961-076-877,like,1
12,187-701-961-076-877,scholarli,1
12,187-701-961-076-877,discuss,1
12,187-701-961-076-877,locat,1
12,187-701-961-076-877,geograph,1
12,187-701-961-076-877,unit,1
12,187-701-961-076-877,journal,1
12,187-701-961-076-877,nexu,1
12,187-701-961-076-877,activ,1
12,187-701-961-076-877,pattern,1
12,187-701-961-076-877,indic,1
12,187-701-961-076-877,describ,1
12,187-701-961-076-877,research,1
12,187-701-961-076-877,evolv,1
12,187-701-961-076-877,characterist,1
12,187-701-961-076-877,appli,1
12,187-701-961-076-877,len,1
12,187-701-961-076-877,explor,1
12,187-701-961-076-877,convers,1
12,187-701-961-076-877,world,1
12,187-701-961-076-877,bank,1
12,187-701-961-076-877,gni,1
12,187-701-961-076-877,capita,1
12,187-701-961-076-877,estim,1
12,187-701-961-076-877,compar,1
12,187-701-961-076-877,rel,1
12,187-701-961-076-877,wealth,1
12,187-701-961-076-877,hofsted,1
12,187-701-961-076-877,individu,1
12,187-701-961-076-877,dimens,1
12,187-701-961-076-877,understand,1
12,187-701-961-076-877,attribut,1
12,187-701-961-076-877,whose,1
12,187-701-961-076-877,scholar,1
12,187-701-961-076-877,dialog,1
12,187-701-961-076-877,descript,1
12,187-701-961-076-877,statist,1
12,187-701-961-076-877,excel,1
12,187-701-961-076-877,data,1
12,187-701-961-076-877,visual,1
12,187-701-961-076-877,render,1
12,187-701-961-076-877,tableau,1
12,187-701-961-076-877,public,1
12,187-701-961-076-877,tagcrowd,1
12,187-701-961-076-877,current,1
12,187-701-961-076-877,project,1
12,187-701-961-076-877,offer,1
12,187-701-961-076-877,method,1
12,187-701-961-076-877,examin,1
12,187-701-961-076-877,suggest,1
12,187-701-961-076-877,potenti,1
12,187-701-961-076-877,analyz,1
12,187-701-961-076-877,area,1
12,187-701-961-076-877,larger,1
13,104-626-130-571-406,sao,1
13,104-626-130-571-406,paulo,1
13,104-626-130-571-406,state,1
13,104-626-130-571-406,univ,1
13,104-626-130-571-406,unesp,1
13,104-626-130-571-406,grad,1
13,104-626-130-571-406,informat,1
13,104-626-130-571-406,sci,1
13,104-626-130-571-406,hygino,1
13,104-626-130-571-406,muzzi,1
13,104-626-130-571-406,filho,1
13,104-626-130-571-406,17525900,1
13,104-626-130-571-406,marilia,1
13,104-626-130-571-406,brazil,1
14,100-935-111-075-54X,activ,3
14,100-935-111-075-54X,document,3
14,100-935-111-075-54X,comput,2
14,100-935-111-075-54X,theori,2
14,100-935-111-075-54X,challeng,2
14,100-935-111-075-54X,understand,2
14,100-935-111-075-54X,descript,1
14,100-935-111-075-54X,perform,1
14,100-935-111-075-54X,databas,1
14,100-935-111-075-54X,archiv,1
14,100-935-111-075-54X,done,1
14,100-935-111-075-54X,librarian,1
14,100-935-111-075-54X,archivist,1
14,100-935-111-075-54X,specialist,1
14,100-935-111-075-54X,algorithm,1
14,100-935-111-075-54X,concern,1
14,100-935-111-075-54X,natur,1
14,100-935-111-075-54X,qualiti,1
14,100-935-111-075-54X,process,1
14,100-935-111-075-54X,system,1
14,100-935-111-075-54X,represent,1
14,100-935-111-075-54X,concept,1
14,100-935-111-075-54X,exist,1
14,100-935-111-075-54X,histor,1
14,100-935-111-075-54X,theoret,1
14,100-935-111-075-54X,relat,1
14,100-935-111-075-54X,view,1
14,100-935-111-075-54X,cognit,1
14,100-935-111-075-54X,languag,1
14,100-935-111-075-54X,social,1
14,100-935-111-075-54X,tend,1
14,100-935-111-075-54X,answer,1
14,100-935-111-075-54X,question,1
14,100-935-111-075-54X,profession,1
14,100-935-111-075-54X,often,1
14,100-935-111-075-54X,concentr,1
14,100-935-111-075-54X,appli,1
14,100-935-111-075-54X,new,1
14,100-935-111-075-54X,technolog,1
14,100-935-111-075-54X,standard,1
14,100-935-111-075-54X,seen,1
14,100-935-111-075-54X,involv,1
14,100-935-111-075-54X,interpret,1
14,100-935-111-075-54X,analysi,1
14,100-935-111-075-54X,mean,1
14,100-935-111-075-54X,critic,1
14,100-935-111-075-54X,lack,1
14,100-935-111-075-54X,substant,1
14,100-935-111-075-54X,intellectu,1
14,100-935-111-075-54X,content,1
14,100-935-111-075-54X,tradit,1
14,100-935-111-075-54X,human,1
14,100-935-111-075-54X,increasingli,1
14,100-935-111-075-54X,retriev,1
14,100-935-111-075-54X,techniqu,1
