,Lens ID_Train,Abstract_Train,index,Lens ID_Test,Abstract_Test,Dickson,Andy,Bill
10,190-805-304-109-100,"The present paper presents a philosophical approach to knowledge organization, proposing the pragmatic doctrine of C.S. Peirce as basic analytical framework for knowledge domains. The theoretical framework discussed is related to the qualitative branch of knowledge organization theory i.e. within scope of Hjorland's domain analytical view (Hjorland and Albrechtsen 1995; Hjorland 2002; Hjorland 2004), and promote a general framework for analyzing domain knowledge and concepts. However, the concept of knowledge organization can be viewed in at least two perspectives, one that defines knowledge organization as an activity performed by a human actor e.g. an information specialist, and secondly a view that has the perspective of the inherent self-organizing structure of a knowledge domain the latter being investigated in the paper.",10,066-382-980-653-77X,"<p>Charles Peirce’s classification of the sciences was designed shortly after the turn of the twentieth century. The classification has two main sources of inspiration: Comte’s science classification and Kant’s theoretical philosophy. Peirce’s classification, like that of Comte, is hierarchically organised in that the more general and abstract sciences provide principles for the less general and more concrete sciences. However, Peirce includes and assigns a superordinate role to philosophical disciplines which analyse and provide logical, methodological and ontological principles for the specialised sciences, and which are based on everyday life experience. Moreover, Peirce recognises two main branches of specialised empirical science: the natural sciences, on the one hand, and the social sciences, the humanities and psychology on the other. While both branches share logical and methodological principles, they are based on different ontological principles in studying physical nature and the human mind and its products, respectively. Peirce’s most basic philosophical discipline, phenomenology, transforms his early engagement with Kant. Peirce’s classification of aesthetics, ethics and logic as normative sub-disciplines of philosophy relate to his philosophical pragmatism. Yet his more overarching division between theoretical (philosophical and specialised) sciences and practical sciences may be seen as problematic. Taking Peirce’s historical account of scientific developments into consideration, however, I argue that his science classification and its emphasis on the interdependencies between the sciences could be seen as sustaining and supporting interdisciplinarity and interaction across fields of research, even across the divide between theoretical and practical sciences. </p>",,,
11,031-650-207-787-672,"In the last two decades of knowledge organization (KO) research, there has been an increasing interest in the context-dependent nature of human knowledge. Contextualism maintains that knowledge is not available in a neutral and objective way, but is always interwoven with the process of knowledge production and the prerequisites of the knower. As a first step towards a systematic organization of epistemic contexts, the concept of knowledge will be considered in its onto- logical (WHAT) and epistemological (WHO) including methodological (HOW) dimensions. In current KO research, however, either the contextualism is not fully implemented (classification-as-ontology) or the ambition for a context-transcending universal KOS seems to have been abandoned (classification-as-epistemology). Based on a combined ontology and epistemology it will be argued that a phenom- ena-based approach to KO as stipulated by the Leon Manifesto, for example, requires a revision of the underlying phenomenon concept as a relation between the known object (WHAT) and the knowing subject (WHO), which is constituted by the application of specific meth- ods (HOW). While traditional subject indexing of documents often relies on the organizing principle ""levels of being"" (WHAT), for a fu- ture context indexing, two novel principles are proposed, namely ""levels of knowing"" (WHO) and ""integral methodological pluralism"" (HOW).",11,027-396-266-532-738,"Claudio Gnoli has been working as an academic librarian since 1994. His main interest is classification theory. He has published papers on this subject in several international journals and conference pro- ceedings. He is member of the scientific advisory boards of the Universal Decimal Classification Con- sortium (UDCC) and of the journal Knowledge Organization, and vice-president of the International Society for Knowledge Organization (ISKO). Gnoli, Claudio. Classification Transcends Library Business. Knowledge Organization, 37(3), 223-229. 26 references. Abstract: Although bibliographic classifications usually adopt a perspective different from that of object classifications, the two have obvious relationships. These become especially relevant when users are looking for knowledge scattered in a wide va- riety of forms and media. This is an increasingly common situation, as library catalogues now coexist in the global digital envi- ronment with catalogues of archives, of museums, of commercial products, and many other information resources. In order to make the subject content of all these resources searchable, a broader conception of classification is needed, that can be applied to any knowledge item, rather than only bibliographic materials. To illustrate this we take an example of the research on bag- pipes in Northern Italian folklore. For this kind of research, the most effective search strategy is a cross-media one, looking for many different knowledge sources such as published documents, police archives, painting details, museum specimens, organi- zations devoted to related subjects. To provide satisfying results for this kind of search, the traditional disciplinary approach to classification is not sufficient. Tools are needed in which knowledge items dealing with a phenomenon of interest can be re- trieved independently from the other topics with which it is combined, the disciplinary context, and the medium where it oc- curs. This can be made possible if the basic units of classification are taken to be the phenomena treated, as recommended in the Leon Manifesto, rather than disciplines or other aspect features. The concept of bagpipes should be retrievable and browsable in any combination with other phenomena, disciplines, media etc. Examples are given of information sources that could be managed by this freely-faceted technique of classification.",,,
12,187-701-961-076-877,"Knowledge organization (KO) is considered a distinctive disciplinary focus of information science, with strong connections to other intellectual domains such as philosophy, computer science, psychology, sociology, and more. Given its inherent interdisciplinarity, we ask what might a map of the physical, cultural and intellectual geography of the KO community look like? Who is participating in this discipline’s scholarly discussion, and from what locations, both geographically and intellectually? Using the unit of authorship in the journal Knowledge Organization, where is the nexus of KO activity, and what patterns of authorship can be identified? What indices can be generated to describe the KO community of researchers as it has evolved? Cultural characteristics were applied as a lens to explore who is and is not participating in the international conversation about KO. World Bank GNI per capita estimates were used to compare relative wealth of countries and Hofstede’s Individualism dimension was identified as a way of understanding attributes of countries whose scholars are participating in this dialog. Descriptive statistics were generated through Excel, and data visualizations were rendered through Tableau Public and TagCrowd. The current project offers one method for examining an international and interdisciplinary field of study, but also suggests potential for analyzing other interdisciplinary areas within the larger discipline of information science.",12,025-320-084-599-970,"We investigate whether existing knowledge organization systems (KOS) for strong and hesitant forward-looking sentiment could be improved to detect social phenomena. Five judges identified examples of strong/hesitant forward-looking sentiment that were used to compare the KOS developed in the study to existing models. The 'composite' KOS was subsequently applied to annual company reports to generate word frequency and biologically inspired diversity ratios. Critical realism was used as a philosophy to interpret word patterns. Results indicate the composite KOS improved on existing models identified in the literature for strong forward-looking sentiment. In one company, a statistically significant association was found between increasing diversity of assertive forward-looking sentiment and subsequent declining relative business performance. This supported the Pollyanna effect: the social phenomena of over-positive business language in that company. Sharp increases in mentions of the 'future' and 'learnings' were discovered in another company which may be explained by an industrial disaster and subsequent crisis management rhetoric, supporting discourse of renewal theory. This study shows that improvements can be made to existing KOS used to detect forward-looking sentiment in reports. Adopting critical realism as a philosophy when analysing 'big data' may lead to improved theory generation and the potential for differentiating insights.",,,
13,104-626-130-571-406,"Sao Paulo State Univ, UNESP, Grad Sch Informat Sci, Av Hygino Muzzi Filho 737, BR-17525900 Marilia, SP, Brazil",13,118-102-398-817-762,"Sao Paulo State Univ, UNESP, Grad Sch Informat Sci, Av Hygino Muzzi Filho 737, BR-17525900 Sao Paulo, Brazil",,,
14,100-935-111-075-54X,"Knowledge Organization (KO) is about activities such as document description, indexing and classification performed in libraries, databases, archives etc. These activities are done by librarians, archivists, subject specialists as well as by computer algorithms. KO as a field of study is concerned with the nature and quality of such knowledge organizing processes (KOP) as well as the knowledge organizing systems (KOS) used to organize documents, document representations and concepts. There exist different historical and theoretical approaches to and theories about KO, which are related to different views of knowledge, cognition, language, and social organization. Each of these approaches tends to answer the question: ""What is knowledge organization?"" differently. LIS professionals have often concentrated on applying new technology and standards, and may not have seen their work as involving interpretation and analysis of meaning. That is why library classification has been criticized for a lack of substantive intellectual content. Traditional human-based activities are increasingly challenged by computer-based retrieval techniques. It is appropriate to investigate the relative contributions of different approaches; the current challenges make it imperative to reconsider this understanding. This paper offers an understanding of KO based on an explicit theory of knowledge.",14,131-292-364-160-556,"A problem facing information retrieval and exchange among international medical practitioners and researchers is the lack of a knowledge structure or conceptual framework that relates concepts used in the Western medical system to those used in non-Western medical systems. This paper presents challenges we have encountered in attempting to develop a general conceptual framework to cover concepts and terminology used for information retrieval in the field of complementary and alternative medicine. This is a broad field that has not been covered appropriately in knowledge organization systems such as classification schemes, thesauri, and terminology databases. The objective of the project is to improve significantly the efficiency and the quality of cross-language and cross-cultural information exchange and knowledge discovery by facilitating concept mapping and information retrieval between Western and Eastern medical traditions. Major facets of the conceptual framework include Diagnostic Categories, Therapeutic Preparations, Human Anatomy, Selected Diseases/Medical Conditions, and Basics of Traditional Systems. The paper discusses issues of subject coverage, the representation of medical concepts in the conceptual framework, incorporation of concept names that have existed in individual traditional systems, and the relationships among concepts. Findings reported are primarily from current work that focuses on Traditional Chinese Medicine.",,,
15,167-707-200-597-186,"Online textbooks can be connected to other sources of information to improve their educational value. We describe two case studies. One used a medical textbook and connected to medical journal abstracts via a thesaurus. The textbook, journal abstracts, and thesaurus were stored on a CD-ROM. The other case study shows a textbook on the World Wide Web that is connected to various other sources of information. About half the book references are to web sites, and the textbook is part of an online course that is connected to an online catalog and other courses. Such linkages among information spaces should help students navigate the information relevant to their studies",15,060-372-899-346-10X,"This paper maps the concepts “space” and “dimensionality” in classifications, in particular in visualizations hereof, from a historical perspective. After a historical excursion in the domain of classification theory of what in mathematics is known as dimensionality reduction in representations of a single universe of knowledge, its potentiality will be explored for information retrieval and navigation of the World Wide Web.",,,
16,145-930-999-684-144,"This paper aims to explore the changes in the role of classification and the opportunities presented for classification in the twenty-first century, especially in respect to the development of information technology. The issues arose as part of the EC (European Community) funded MIRACLE Project (LB5670) that represents the foundations for a virtual music library to serve visually impaired people. The MIRACLE partners chose the Universal Decimal Classification (UDC) as the common classification for the converging music catalogues. This paper investigates the nature of adaptation required by each participating library and the way in which the classification is used as a searching tool. Further developments in the use of IT (information technology)-assisted classification are proposed.",16,059-611-580-408-33X,"Resource description and discovery have been facilitated generally in two approaches, namely bibliographic control and metadata, which now may converge in response to current issues and challenges of providing subject access. Four categories of major issues and challenges in the provision of subject access to digital and non-digital resources are: 1) the advancement of new knowledge; 2) the fall of controlled vocabulary and the rise of natural language; 3) digitizing and networking the traditional catalogue systems; and 4) electronic publishing and the Internet. The creation of new knowledge and the debate about the use of natural language and controlled vocabulary as subject headings becomes even more intense in the digital and online environment. The third and fourth categories are conceived after the emergence of networked environments and the rapid expansion of electronic resources. Recognizing the convergence of metadata schemas and bibliographic control calls for adapting to the new environment by developing tools that exploit the strengths of both.",,,
17,139-017-681-927-137,"This article comprises a literature review and conceptual analysis of Topic Maps-the ISO standard for representing information about the structure of information resources—according to the principles of Knowledge Organization (KO). Using the main principles from this discipline, the study shows how Topic Maps is proposed as an ontology model independent of technology. Topic Maps constitutes a 'bibliographic' meta-language able to represent, extend, and integrate almost all existing Knowledge Organization Systems (KOS) in a standards-based generic model applicable to digital content and to the Web. This report also presents an inventory of the current applications of Topic Maps in Libraries, Archives, and Museums (LAM), as well as in the Digital Humanities. Finally, some directions for further research are suggested, which relate Topic Maps to the main research trends in KO.",17,007-409-477-173-741,"Paper presented at the 2nd ISKO Italy-UniMIB meeting, Milan, June 9 2006: http://www.iskoi.org/doc/milano06.htm; Different classification schemes may be used for web indexing. The authors analyze three weblogs (Biblioatipici, Letture and Andrea Marchitelli’s blog) to demonstrate that different contents may be classified using the appropriate scheme.; Biblioatipici is a weblog about temporary workers in libraries and Italian documentation centres, indexed with a faceted scheme, home made by authors. Letture, a diary about reading and books, is indexed by DDC; finally, Andrea Marchitelli’s blog, a weblog about digital libraries and open access, is indexed by JITA, the scheme used for indexing e-prints in some different open archives.; The three applications are presented starting from the most complex scheme (i.e. the faceted one) to the simple but least functional (JITA), passing through a traditional bibliographic classification scheme, the Dewey Decimal Classification.; The analysis demonstrates that different web contents can efficiently be classified with different schemes. In particular, with the facets one (Biblioatipici) the indexer is able to generate the needed classes in the indexing phase. Moreover with a small number of facets and foci one can obtain an exponential number of classes. Finally, one of the advantages for the user is that the faceted scheme allows multiple accesses on the basis of different information requirements, in addition to being coherent and intuitive. DDC scheme can be more suitable than the first web pages or blogs performing a sort of digital library. In this case in fact the DDC scheme constitutes a consolidated classification standard, widespread in a huge quantity of libraries and the use of a different scheme might get confusion. JITA scheme, finally, can find a huge applicability in web pages (or blogs) in LIS field showing several advantages: it’s very simple and essentialy pragmatic, intuitive and coherent. It’s a conservative scheme because structurally closed, in fact it does not allow the classifier to insert new LCS’s categories. If, from a certain point of view, this is a disadvantage, vice versa this feature is really useful because get a complete matching between classes of all the web pages implemented with it.",,,
18,139-017-681-927-137,"This article comprises a literature review and conceptual analysis of Topic Maps-the ISO standard for representing information about the structure of information resources—according to the principles of Knowledge Organization (KO). Using the main principles from this discipline, the study shows how Topic Maps is proposed as an ontology model independent of technology. Topic Maps constitutes a 'bibliographic' meta-language able to represent, extend, and integrate almost all existing Knowledge Organization Systems (KOS) in a standards-based generic model applicable to digital content and to the Web. This report also presents an inventory of the current applications of Topic Maps in Libraries, Archives, and Museums (LAM), as well as in the Digital Humanities. Finally, some directions for further research are suggested, which relate Topic Maps to the main research trends in KO.",18,045-388-908-940-286,"<p>The lack of standardization in the production, organization and dissemination of information in documentation centers and institutions alike, as a result from the digitization of collections and their availability on the internet has called for integration efforts. The sheer availability of multimedia content has fostered the development of many distinct and, most of the time, independent metadata standards for its description. This study aims at presenting and comparing the existing standards of metadata, vocabularies and ontologies for multimedia annotation and also tries to offer a synthetic overview of its main strengths and weaknesses, aiding efforts for semantic integration and enhancing the findability of available multimedia resources on the web. We also aim at unveiling the characteristics that could, should and are perhaps not being highlighted in the characterization of multimedia resources. </p>",,,
19,064-432-781-825-17X,"Rafferty, Pauline, (2001) 'The representation of knowledge in library classification schemes', Knowledge Organisation 28(4) pp.180-192 RAE2008",19,063-359-887-330-154,"The Underground Railroad was a network of people who helped fugitive slaves escape to the North and Canada during the U.S. Civil War period, beginning in about 1831.Quilting was used as a form of information representation (Breneman 2001). This simple classification was designed to relate the symbolic transmission of escape routes and locations of sanctuary. Because it was for use in a children's library, symbolic representations were used to anchor the classes. Symbols are based in the African graphic arts, the Adinkra symbols of Ghana (West African wisdom. 2001), and also from actual quilt practice (Threads of Freedom 2001 and Breneman 2001).",,,
20,183-733-118-359-209,To collect information with crowdsourcing is a popular method for cultural heritage institutions. User comments in free-text format are especially propagated as empowering users and their influence ...,20,006-131-603-403-086,"<p>Cultural heritage institutions are publishing their digital collections over the web as LOD. This is is a new step in the patrimonialization and curatorial processes developed by such institutions. Many of these collections are thematically superimposed and complementary. Frequently, objects in these collections present culturally relevant relationships, such as a book about a painting, or a draft or sketch of a famous painting, etc. LOD technology enables such heritage records to be interlinked, achieving interoperability and adding value to digital collections, thus empowering heritage institutions. An aim of this research is characterizing such culturally relevant relationships and organizing them in a vocabulary. Use cases or examples of relationships between objects suggested by curators or mentioned in literature and in the conceptual models as FRBR/LRM, CIDOC CRM and RiC-CM, were collected and used as examples or inspiration of cultural relevant relationships. Relationships identified are collated and compared for identifying those with the same or similar meaning, synthesized and normalized. A set of thirty-three culturally relevant relationships are identified and formalized as a LOD property vocabulary to be used by digital curators to interlink digital collections. The results presented are provisional and a starting point to be discussed, tested, and enhanced. </p>",,,
21,050-418-334-813-530,"The recent experiences in the building, maintenance and reuse of ontologies has shown that the most efficient approach is the collaborative one. However, communication between collaborators such as IT professionals, librarians, web designers and subject matter experts is difficult and time consuming. This is because there are different reasoning strategies, different logics and different kinds of knowledge representation in the applications of Semantic Web. This article intends to be a reference scheme. It uses concise and simple explanations that can be used in common by specialists of different backgrounds working together in an application of Semantic Web.",21,090-193-723-112-590,"Explanation of how prime numbers can be derived from the numbers 1, 2 and 3 and how they can be visualized on eight rays by introducing a cyclic way of presentation according to the model of an atom and its shells for the prime numbers of the form 6n+1. Also it is shown how prime numbers are coded in the Pascal Triangle. From its implications it is concluded that prime numbers form the background of the material world and that four-dimensional space around a point is a decimal prime-number space. (KO)",,,
22,193-381-516-111-686,"In a scientific and technological watch (STW) task, an expert user needs to survey the evolution of research topics in his area of specialization in order to detect interesting changes. The majority of methods proposing evaluation metrics (bibliometrics and scientometrics studies) for STW rely solely on statistical data analysis methods (co-citation analysis, co-word analysis). Such methods usually work on structured databases where the units of analysis (words, keywords) are already attributed to documents by human indexers. The advent of huge amounts of unstructured textual data has rendered necessary the integration of natural language processing (NLP) techniques to first extract meaningful units from texts. We propose a method for STW which is NLP-oriented. The method not only analyses texts linguistically in order to extract terms from them, but also uses linguistic relations (syntactic variations) as the basis for clustering. Terms and variation relations are formalised as weighted di-graphs which the clustering algorithm, CPCL (Classification by Preferential Clustered Link) will seek to reduce in order to produce classes. These classes ideally represent the research topics present in the corpus. The results of the classification are subjected to validation by an expert in STW.",22,116-226-320-354-253,"Argumentation as reflected in a short communication from the published literature of botany and zoology is discussed. Trying to capture the logic structure of the argument, however imperfectly, is relevant to information science and depends on a particular goal: namely, to potentially benefit the task of sketching the relationship between bibliographic entries in a better manner than is possible with present-day bibliometric or scientometric practice. This imposes tight limits on the depth of analysis of the text.",,,
