Lens ID,Abstract,cluster
122-703-378-850-053,"Intended is first of all a preliminary review of the implications that the new approaches to the theory of classification, mainly from Cognitive Psychology and Epistemology may have for information work and research. As a secondary topic the scientific relations existing among Information Science, Epistemology, and the Cognitive Sciences are discussed. Classification is seen as a central activity in all daily and scientific activities, and, of course, of knowledge organization in information services. There is a mutual implication between classification and conceptualization, as the former moves in a natural way to the latter and the best result elaborated for classification is the concept. Research in concept theory is a need for a Theory of Classification. In this direction it is of outstanding importance to integrate the achievements of natural concept formation theory (NCFT) as an alternative approach to conceptualization different from the traditional one of logicians and problem solving researchers. In clonclusion both approaches are seen as being complementary: the NCFP approach being closer to the user and the logical one being more suitable for experts, including expert systems",Cluster 0
131-111-699-854-730,"Knowledge organization in real world situations is a complex task relying on a vast body of knowledge from theories, disciplines, professions, and cultures. This diversity requires a particular instructional design for developing competence in this field. The main features of this design are: real world approach, critical incident analysis, the work on interdependent tasks as a problem-solving method, implementation of solutions, permanent evaluation. It is proposed that documentation of critical incidents, solutions and implementation results serve as a base for establishing knowledge organization as a new interdisciplinary field",Cluster 6
149-853-331-952-574,"This article presents a new taxonomy or designators (a.k.a. designations), covering terms, symbols and ordinals. Although ordinals are widely used, they have not been conceptualized in terminology literature as designators per se. Each category is broken down according to the basic form of the designator. Term types are monomials, polynomials, and initialisms. Symbol types are alphabetic and graphic. And ordinal types are alphabetic and numeric. Combinations (hybrids) of these types are also discussed. The proposed terms and concepts are contrasted with those in ISO 1087 (Terminology-Vocabulary, 1990) and approximately 48 terms are defined",Cluster 6
159-341-018-942-277,The perspectives of reorganization of the Library-Bibliographical Classification (LBC) are described. The possibilities of a transformation of this classification system into a scientifically based «knowledge base» for traditional and electronic catalogues are shown. Difficulties and obstacles in pursuing the completion of LBC reconstruction are expounded,Cluster 3
165-166-377-215-209,"It has rarely been seen as a task for art history to give systematic, consistent and detailed access to the subject matter of large numbers of historical images. This lack of systematic documentation severely handicaps all historical research that involves the interpretation of iconographic detail. It leaves us unable to count the frequency with which subjects have been represented, or with which iconographic particularities occur. This article asks whether the use of the iconographic classification system ICONCLASS will help to create countable iconographic information. Its first part deals with the considerations that have guided the shape of the computer edition that has recently been made available. These may be relevant for the electronic publication of classification systems in general. In the second part a few statement about gestures are analyzed against the background of an existing corpus of systematically described images . This analysis draws attention to the paradox that iconographic detail often plays a key role in art historical discourse, but must do so on the basis of incidental information",Cluster 3
000-189-988-224-76X,"A unifying theory has been developed that draws together a compatible set of methods for classification, and shows why others should be rejected. The methods reveal polythetic groups and sequences, and evaluate the quality and the best identifying characters for each group. The theory defines the rules for the fuzzy uses of 40 interacting options for group studies in a new 12 000 line FORTRAN program called Uniter, available from the author. The theory and the program's options help to show the nature of the achievements and failures of humanity's powerful grouping sense. This approach offers useful understandings in an extremely wide range of fields, examples of which are given. Both research and teaching should take account of this development",Cluster 6
003-149-126-851-754,"Third part of a series of articles of which Pt.1 was published in KO 23(1996)No.1, p.25-33, Pt.2 in No.3, p.157-168. Pt.4 will follow in KO 24(1997)No.1. In addition to the important distinctions between the fundamental concepts and terms (tags) used in Onomantics and Terminology, as reported in the first two parts of this essay, several other interesting comparisons can be made. First, with reference to formats, both the structure and nomenclature used for terminological entries (records) in ISO 1087 parallel those found in dictionaries and suggest a semantic rather than an onomantic point of view. Second, a large number of borrowed terms taken from Lexicography and Linguistics can be found in this glossary for the terminology of Terminology. Sometimes the definitions for these terms identify them as borrowed concepts drawn from the vocabulary used by lexicographers. However, sometimes new meanings are stipulated for these terms without any markings to show that they are not borrowed concepts. Moreover, in all these cases, since the original and the newly stipulated concepts are similar, ambiguity is unavoidable. Third, some concepts that might be useful for terminologists are not included in ISO 1087: a few examples are explained. They are all concepts which lexicographers do not need and, consequently, they have no terms for them. It seems apparent that they have been omitted from the vocabulary of Terminology simply because they are new concepts without established terms. To explain the reasons for the formats, terms and omissions found in the leading glossary for the terminology of Terminology takes us into a realm of speculation that is too complicated for inclusion here, but I will discuss it in Part IV of this series, with a focus on the problems of neologisms",Cluster 7
006-948-163-366-774,"This paper is put up for discussion to help Knowledge Organization find its proper place. To begin with, a few basic concepts from the field of communication theory are defined. The new concepts permit the conclusion that what we are facing at present is not a flood of information but one of messages, and that this latter flood must not be equated indiscriminately with a knowledge flood. Messages must be judged on their contents. To this end, «knowledge» is subdivided into «core-», «peripheral», and «pseudo-knowledge», and it is argued that the great majority of scientific publications contains peripheral and pseudoknowledge. With the aid of two interlocking and self-amplying recursive mechanisms it is shown that and how pseudoknowledge is more and more gaining disciplines, hence precisely in those fields which deal with social problems in the broadest sense of the world; Thus a deficit of knowledge on which to base action is produced, leading to a general disorientation - a modern form of ignorance, keenly manifesting it self at present in a crisis of leadership. The research tasks resulting from the above for Knowledge Organization are roughly outlined",Cluster 6
007-412-694-977-073,"Attention is drawn to the inadequacies ofthe existing classification schemes as pointed out by individuals and groups concerned with classification research. The article is based on an earlier study by the author, which identified and arranged in a filiatory way the main concepts of sociology and determined their relative significance as headings in a classification scheme The sociology schedule in the Dewey Decimal Classification was examined on the basis of nine evaluation criteria, as e.g. arrangement of major categories, provision for main concepts, use of phrased headings instead of individual key terms, and scattering of related concepts in the schedule. It was found that a large number of the main concepts of sociology are either not represented in the schedule or mentioned in the scope note only along with the main headings. A table shows one hundred main concepts of sociology arranged and classified within ten major categories or sections, and their provision in the DDC. The study suggests that the DDC needs serious reconsideration with regard to the main headings/categories provided as class headings, terminology used for the concepts, the filiatory structure adopted, and the representation of the main concepts of sociology.",Cluster 7
010-165-399-327-919,"As a result of the transition to full-text storage, multimedia and networking, information systems are becoming more efficient but at the same time more difficult to use, in particular because users are confronted with information volumes that increasingly exceed individual processing capacities. Consequently, there is an increase in the demand for user aids such as summarising techniques. Against this background, the interdisciplinary Dagstuhl Seminar Summarising Text for Intelligent Communication, (Dec. 1993) outlined the academic state of the art with regard to summarising (abstracting) and proposed future directions for research and system development",Cluster 5
012-629-049-920-451,"In the literature of knowledge organization, metaphors and images such as 'tree ofknowledge', 'map ofknowledge' or the 'world as a network' play an important role. This imagery - although not yet thoroughly documented - should be examined from the various points of view of epistemology, the typology ofmetaphors, discourse analysis, metaphorology and iconography. The crucial point : Not only knowledge as such, but also its organization, is an essential part of our cultural heritage. (Author)",Cluster 0
013-302-417-490-03X,"This paper introduces a scheme for classifications of concepts. It is founded on the triplet model of concepts. 'This model depicts a concept by means of three kinds of knowledge: a concept base, a concept-representing part and the linkage between them. Informally, the concept base deals with entities subsumed under a concept and their properties and relations. The concept-representing part deals with tools and forms of representing these entities and their properties and relations in some intelligent system. The linkage deals with establishing the proper correspondences between components of the base and the representing part. Each of these knowledge kinds is associated with specific structures related to concepts (symbols, names, statements, images, texts, entities and their properties and relations, procedures of determination of property values, etc.). Various informal and formal (mainly set-theoretical) specifications of these structures serve as criteria for triplet classifications of concepts",Cluster 0
013-594-974-562-515,"Recently, a new book on knowledge organization has been published by Greenwood Press. The title is Information seeking and subject representation: An activity-theoretical approach to information science. This book presents a new general theory for information science and knowledge organization, based on a theory of infomation seeking. The author is Dr. Birger Hjorland, Royal School of Library and Information Science. In 1994, he presented his work on theory for KO at the 3 rd International ISKO conference in Copenhagen (Hjorland, 1994). The book aims to provide both a new understanding for the foundations of information science and knowledge organization, and to provide new directions in research and teaching within these fields. KO (Hanne Albrechtsen) has interviewed Birger Hjorland in Copenhagen about his views on knowledge organization and subject representation",Cluster 0
019-135-892-010-245,"The user of documents, e.g. of a library, faces the task of exploring the data fundus and of selecting information according to his actual intentions. He even may find or happen to find new aspects and, following these, will further develop his original quest. How can the user be supported by PC-based procedures? Recently at the Institute of Philosophy, University of Innsbruck/Austria, the GABEK method (Ganzheitliche Bewaltigung sprachlich erfasster Komplexitat) was developed. It has proved useful so far in similar cases of ordering and/or retrieving information; especially to build hidden order structures and to incorporate them into information processing and storage facilities",Cluster 5
024-276-265-590-973,"General linguistic and specific semantic problems arising in multilingual thesaurus construction are well defined in the various textbooks and in the guidelines covering this area. Many details are provided on the conceptual equivalence issue, and various ways of dealing with conceptual divergence are described. But when discussing semantic solutions, display options, management issues, or use of technology, specialists and guidelines seldom, if ever, go as far as commenting on whether or not a particular option is truly respectful of a language and its speakers. This paper, based on the premise that in a multilingual thesaurus all languages are equal, reviews the options and solutions offered by the guidelines to the developer of specialized thesauri. It also introduces other problems of a sociocultural, and even of a truly political nature, a prominent feature in the daily life of the thesaurus designer with which the theory and the guidelines do not deal very well",Cluster 1
025-107-741-251-630,"Starting out from Descartes' and Leibniz' idea of a mathesis universalis the achievements of modem mathematics are divided into three major parts: The creation of algorithms, the invention of proofs, and the application of mathematics to the description of nature. This applicability has repeatedly been viewed as being just a miracle. One major idea to diminsh the miraculous impression was to view mathematics as exploring the vast area ofall kinds ofabstract structures, thus establishing a huge store of humanly possible thinking from which the physicist has only to choose the structure appropriate for the case before him. There remains, however, the problem of mathematical overdetermination ofphysics: the structures suitable for application usually contain mathematical elements that remain without physical interpretation. The true miracle then seems to be that it is often very difficult, if not impossible, to eliminate those uninterpreted elements from physical theory.",Cluster 4
030-929-233-804-44X,"The vast majority of publications in language theory and philosophy start with the language as the given and ask about their structures, about the meaning of their words and about the correct interpretation of texts. This paper approaches the language problem from just the opposite side: the given is here a certain content; what is sought for, is an appropriate artificial language to represent this content. To this end, seven elementary representation principles are proposed. To illustrate the way they work, syntactic pattern recognition is introduced as a simple, but non-trivial example for representing knowledge in formal language. Another central thema of the paper is LEIBNIZ's characteristica universalis and the so-called LEIBNIZ project. LEIBNIZ's investigations in this field are reviewed against the background of the tasks required in syntactic pattern recognition. It is demonstrated that LEIBNIZ had, in fact, already worked with six ofthe seven representation principles proposed, further, that his characteristica universalis is an early form of a formal language, and lastly, that - contrary to the prevailing view - the LEIBNIZ project is not a matter of logic but rather one of knowledge representation, a field largely unexploited in today's logic-oriented epistemology and philosophy of science. It is precisely this one-sided orientation of these disciplines, which is responsible for the distorted picture of LEIBNIZ's work found in the literature; some typical misunderstandings are finally discussed. (Author)",Cluster 1
032-920-635-083-229,"The typology of texts in which terms are functioning has been developed. This typology includes texts using terms, texts fixing them, and as well as texts in which terms appear for the first time. The characteristics of such texts are enumerated: coherency, communicative address, etc. Two approaches to studying terms are described: 1. from term to the text, 2. from text to the term",Cluster 5
033-709-183-964-289,"By analyzing the source documents and their references by classification systems researchers in the world, this paper presents core journals of the field during the period 1981-1990. The findings show that journal literature in this study confirms to Bradford's law and provides Cataloging & Classification Quarterly (CCQ) as the most productive journal, Library Resources & Technical Services (LRTS) as the most frequently cited journal of the field and Knowledge Organization (KO),formally International Classification (IC) as the second productive and frequently cited journal of the field. The principal journals publishing source items differs from those used as reference sources of the field",Cluster 0
036-149-448-029-082,"The Indexing Branch of the National Agricultural Library (NAL) has launched a project to move from their traditional one-on-one method of training novice indexers to a computer-based, largely self-directed training program. CAIT, the Computer-Assisted Indexing Tutor, has been designed to standardize, streamline and improve the quality of indexer training. In addition, to support the increased need for all NAL indexers to more fully utilize microcomputers for indexing production, the Branch investigated the reinvention of paper versions of frequently used indexing tools as electronic references.",Cluster 3
038-170-805-379-451,"Knowledge engineering anticipated by Leibniz in such projects as ideal language for science reasoning automata, library organization, etc. owes to him philosophical presuppositions as to the scope of possible automation. The paper deals with an ambiguity in his position. His attitude as an engineer implies hard AI (as represented by A. Turing) while his metaphysical insights involve an insuperable physical difference between organisms and artificial machines, which is highly relevant to efficiency ofinformation processing (this physicalism claiming the import of hardware, accords with J. von Neumann's insights). The paper's sections: 1. Leibniz vs. Descartes in views on knowledge. 2. On physicalism and antiphysicalism in logic. 3. Turing's claim as to the insignificance of hardware. 4. Von Neumann's claim as to the significance of hardware. 5. Why Leibniz would not have accepted logical physicalism. 6. Why Leibniz would have accepted logical physicalism. (Author)",Cluster 1
038-455-032-007-224,"Description of the history and development of the home-made Regensburg Classification Scheme since 1964 and its notation which has been built according to the one of the Library of Congress. Although not intended in the beginning, the Scheme has become the common tool for a number of Bavarian libraries since 1970 and also of libraries in Switzerland (since 1986) and the so called new German states (after 1990). The individual schedules are listed and also the classification aids published with the Scheme's progressing. Concludingly future plans are outlined. (K.O.)",Cluster 4
044-258-524-068-132,"In China, the Dewey Decimal Classification (DDC) is one of the most influential classifications. It had a great impact on the development of Chinese classification. A comparison between DDC and three representative Chinese classifications corresponding to ancient, modern and contemporary times, illustrate the influence of DDC on Chinese classifications. The celebration of the 120th anniversary of the DDC is a good time to review its introduction, application, development and impact in China.",Cluster 7
050-962-085-082-050,"From the viewpoint of the Kuhnian scientific revolution, paradigms of knowledge organization are examined. As an influential achievement, Faceted Classification is qualified as a paradigm today and tomorrow. Three features of the paradigm, i.e. features in theory, cognition, and methodology, are described, along with a critical overview of research and practice in our field",Cluster 3
054-597-134-280-815,"The rapid evolution of hypermedia technology makes it possible to access an immense volume of information in an educational setting, This research examines the relationship between individual differences (in particular, cognitive styles) and navigation strategies using a WWW-based hypermedia learning system. The hypermedia learning system was used at Sheffield University's Department of Information Studies. Twenty Masters students were pre-tested for their cognitive styles. Dependent variables included navigation patterns, selection of navigation tools, and reactions to the hypermedia system. The results indicated that students with differing cognitive styles and individual characteristics selected different access facilities and applied different navigation patterns. The implication of these findings and the role of individual differences in designing hypermedia-based learning systems are discussed.",Cluster 6
056-146-827-136-55X,"The classification system of the Warburg Institute library, London, UK, is considered. First, a brief review of the scholarly work of Aby Warburg and the history of this library is given to illustrate the background of the classification. The classification is described and its basic features are clarified with examples. Finally, the classification of the Warburg Institute library is contrasted with ordinary classification thinking in library and information science",Cluster 3
057-453-531-906-267,"The paper focusses on the practical issues of institutions and resources relating to a conference held in November 1994 on the topic, organized by the American Council of Learned Societies (ACLS) which embraces the U.S. scholarly community in the humanities and social sciences. The results of statements of conference participants on the internationalization of its activities and on the internationalization of scholarship in their fields have been summarized here.",Cluster 2
062-376-529-028-631,"Reports on the findings of a study conducted to identify the main concepts used in sociology according to their relative significance. A sample of 87 introductory textbooks of sociology was considered, chapter headings used in them were classified and 100 main concepts were identified. A scheme for their arrangement was suggested using 10 major categories. In order to compare the relative significance of each concept for use in the retrieval tools as headings, a proportion of a book used for a concept by all the authors in these books was added. This cumulative proportion has been termed the «relative weight of a concept», which made it possible to arrange all the 100 concepts into three «levels of significance categories». The study concludes in that no bibliographic information storage and retrievalc",Cluster 7
064-751-648-054-001,"The necessity and value of models shaped in the human mind in order to support understanding, activities and their control are outlined and mapped with respect to their function in knowledge organization and representation. Advanced understanding of modeling appears as a challenge and chance for the future design of dynamic, learning classification systems, evolving together with the systems they represent, as well as with their environment and theirs users",Cluster 3
067-245-023-581-167,"The convertibility of ordering systems such as thesauri and classification schemes have been investigated for many years. The focus has so far been more on thesauri than on classification schemes. Classification schemes too could differ from one anotherin several ways : in their structural, semantic, lexical and notational features. These incompatibilities make multiple catalog search difficult for the users. The Dewey Decimal Classification is one ofthe widely used schemes worldwide that encompasses all of knowledge whereas the Mathematics Subject Classification scheme published by the American Mathematical Society is a special classification scheme that is used in several AMS publications, notably the Mathematics Review. An interface that enables mathematicians to access library collections organized with the Dewey Decimal Classification, using the AMS scheme as an interface will certainly be useful. This paper suggests a prototype expert system interface to map the MSC scheme on to the mathematics (510 schedule of DDC20 and presents the work done so far towards this end. Compares the two schemes and discusses the mapping strategies/rules developed and the features of the prototype expert system design. (Authors)",Cluster 7
071-000-824-702-757,"Building on the arguments of earlier papers, this paper advocates the use of centro-symmetric diagrams, controlled through suitable graphics software, to hold and re-configure concept sets - whether user initiated or supported by a library of such sets. It is emphasized that computer software features have evolved to such a high degree that it is worthwhile challenging any new approach to knowledge organization with the question : what could that software feature offer to knowledge organization?. Often the software already available offers facilities superior to the needs articulated or envisaged by those concerned with knowledge organization. (Author)",Cluster 6
071-880-480-221-367,"This paper is put up to enter into a discussion about the theses of Peter Jaenecke in Knowl.Org. 94-1. Jaenecke's differentiation of knowledge as «core knowledge», «peripheral knowledge», and «pseudo knowledge» is rejected, since his conception of knowledge is limited to a particular epistemology and knowledge domain. The author argues in favor of an epistemologically open conception of knowledge organization considering knowledge organization as a user-supporting but not as a user and producer controlling task",Cluster 6
077-241-208-573-205,"Ranganathan's Chain indexing technique is devised as a complementary and supplementary tool to classification schemes. However, due to the efficiency and economy, this technique can effectively be made use of in deriving alphabetical subject indexes for any indexing/abstracting services. The authors have made a close analysis of Library and Information Science Abstracts (LISA) to elucidate the extent of the impact of chain indexing in it. Some of the problems found in the application of chain procedure in alphabetical subject indexing are identified and the solution found in LISA has been explained.",Cluster 4
080-752-452-284-07X,"The selection and representation of concepts in indexing of the same documents in two databases of library and information studies are considered. The authors compare the indexing of 49 documents in KINF and LISA. They focus on the types of concepts presented in indexing, the degree of concept consistency in indexing, and similarities and differences in the indexing of concepts. The largest group of indexed concepts in both databases was the category of entities while concepts belonging to the category of properties were almost missing in both databases. The second largest group of indexed concepts in KINF was the category of activities and in LISA the category of dimensions. Although the concept consistency between KINF and LISA remained rather low and was only 34 %, there were approximately 2.2 concepts per document which were indexed from the same documents in both databases. These common concepts belonged mostly to the category of entities.",Cluster 1
080-833-091-660-82X,"The paper reviews the development of the USMARC Format for Classification Data, a standard for communication of classification data in machine-readable form. It considers the uses for online classification schedules, both for technical services and reference functions and gives an overview of the format specification details of data elements used and of the structure of the records. The paper describes an experiment conducted at the Library of Congress to test the format as well as the development of the classification database encompassing the Library of Congress Classification (LCC) schedules. Features of the classification system are given. The Library of Congress will complete its conversion of the LCC in mid-1995",Cluster 3
087-931-774-679-603,"The resolution of cases in law depends on the generation of metaphors by analogy. It progresses by association, affinity and juxtaposition of two divergent ideas in an integrative approach. To argue a case, a legal expert cannot limit himself to the perception of isolated facts, but instead must find affinities between fields expressing more cohesion in law. In this paper, it is argued that the legal specialist relies on abstract categorization to discover a precedent and thereby create a metaphorical link that serves in the argumentation stage, and also later on in the resolution of the case. On this basis, a model of case reasoning is charted that integrates a model of analogical reasoning. In the same manner, a model of analogical reasoning is designed that combines quality induction and deduction. Furthermore, it is advocated that a rich representation of a law category is required to make a good induction. Similarly, it is specified that quality induction should be constrained by abstract rules in order to preserve legal principles and compute profound similarity between cases to discover the precedent. A better grasp of analogy can help us to improve legal information retrieval as well as legal case-based reasoning",Cluster 0
090-193-723-112-590,"Explanation of how prime numbers can be derived from the numbers 1, 2 and 3 and how they can be visualized on eight rays by introducing a cyclic way of presentation according to the model of an atom and its shells for the prime numbers of the form 6n+1. Also it is shown how prime numbers are coded in the Pascal Triangle. From its implications it is concluded that prime numbers form the background of the material world and that four-dimensional space around a point is a decimal prime-number space. (KO)",Cluster 7
092-264-638-820-590,"Traditionally, database indexing and book indexing have been looked upon as being quite distinct and have been kept apart in textbooks and teaching. The traditional borderline between both variations of indexing, however, should not conceal fundamental commonalities of the two approaches. For example, thesaurus construction and usage, quite common in databases, has hardly been encountered in book indexing so far. Database indexing, on the other hand, has hardly made use of subheadings of the syntax-displaying type, quite common in book indexing. Most database users also prefer precombining vocabulary units and reject concept analysis. However, insisting on precombining descriptors in a large database vocabulary may, in the long run, well be destructive to the quality of indexing and of the searches. A complementary approach is conceivable which provides both precombinations and analyzed subjects, both index language syntax and subheadings, and provides access to an information system via precombinations, without jeopardizing the manageability of the vocabulary. Such an approach causes considerable costs in input because it involves a great deal of intellectual work. On the other hand, much time and costs will be saved in the use of the system. In addition, such an approach would endow an information system with survival power.",Cluster 1
094-882-702-642-495,"We sketch the historic transformation of culturally grown techniques of symbol manipulation, such as basic arithmetic in the decimal number system, to the full-fledged version of the Computational Theory of Mind. Symbol manipulation systems had been considered by Leibniz as a methodology of inferring knowledge in a secure and purely mechanical fashion. Such inference calculi were considered as mere artefacts which could not possibly encompass all human knowledge acquisition. In Alan Turing's work one notices a crucial shift of perspective. The abstract mathematical states of a Turing machine (a kind of calculus universalis that Leibniz was looking for) are claimed to correspond to equivalent psychological states. Artefacts are turned into faithful models of human cognition. A further step toward the Computational Theory of Mind was the physical symbol system hypothesis, contending to have found a necessary and sufficient criterion for the presence of intelligence in operative mediums. This, together with Chomsky's foundational work on linguistics, led naturally to the Computational Theory of Mind as set out by Jerry Fodor and Zenon Pylyshyn. We discuss problematic aspects of this theory. Then we deal with another paradigm of the Computational Theory of Mind based on network automata. This sub-symbolic paradigm seems to avoid problems occuring in symbolic computations, like the proble frame problem and graceful degradation",Cluster 3
095-597-624-140-45X,"Thomas Kuhn differentiated normal scientific progression from the replacement of basic assumptions by a novel paradigm. With his recent death, it is time to sequence the innovation cycle, some of whose parts he had detailed. A Kuhnian discovery faces battle before it is can even be tried and evaluated. We enumerate over two dozen way-stations, or phases, many heretofore vaguely differentiated in half a dozen academic disciplines. Each phase is illustrated with a vignette. Within that cycle, the mental awareness that one has found an anomaly is a distinct advantage, for which we propose the name of neocognition. Certain phases are especially vulnerable dead ends, choke-points, of the entire sequence. Particularly so are the 8 th to 10 th periods - the cultural reactions based on the perceived immediacy of benefit. Any requirement to obtain commercial support at this pre-development stage prevents the emergence of even farsighted latent support that could hurdle the remaining steps. The eventual acceptance of any Kuhnism activates forces that will likely evolve its own era of scientific / political correctness. - From a score of thumbnail histories, it becomes obvious that research organizations may accelerate basic discovery by pre-constituency dissemination",Cluster 6
097-421-372-053-520,"This paper discusses some problems encountered in hypermedia-based collaboration and reuse, and presents a conceptual framework to resolve these problems. Three suggestions are made based on the discussion: 1) extra organizational structures are necessary in shared hypermedia to support collaborative interactions; 2) an abstract schema is a key to capture the dynamic nature of the shared hypermedia; 3) an integration of the schema evolution approach and the workflow approach is recommended for an open system hypermedia teamwork support. The whole authoring environment is divided into several component spaces with particular respect to the Dexter Hypertext Reference Model. Not only can this separation reduce the overall complexity of working within such an environment, but it also conforms more closely with human cognitive needs in collaborative authoring and reuse acitivites",Cluster 7
098-267-139-915-909,In this paper a model for understanding the concept of information is presented and how the processes of externalization and perception of information by human beings could be understood. This model is different from the standard information theoretic model. It combines the understanding of cognitive information processing as an act of information generation from sense impressions with communication theoretic considerations. This approach can be of value for any system that is regarded as a knowledge system with an in-built ordering structure. As an application some consequences will be drawn for the design of information systems which claims to handle information itself (e.g. multimedia information systems) instead of giving references to bibliographic entities.,Cluster 5
098-507-725-113-618,"Bibliographic classification systems purport to organize the world of knowledge for information storage and retrieval purposes in libraries and bibliographies, both manual and online. The major systems that have predominated during the twentieth century were originally predicated on the academic disciplines. This structural principle is no longer adequate because multidisciplinary knowledge production has overtaken more traditional disciplinary perspectives and produced communities of cooperation whose documents cannot be accommodated in a disciplinary structure. This paper addresses the problems the major classifications face, reports some attempts to revise these systems to accommodate multidisciplinary works more appropriately, and describes some theoretical research perspectives that attempt to reorient classification research toward the pluralistic needs of multidisciplinary knowledge creation and the perspectives of different discourse communities. Traditionally, the primary desiderata of classification systems were mutual exclusivity and joint exhaustivity. The need to respond to multidisciplinary research may mean that hospitality will replace mutual exclusivity and joint exhaustivity as the most needed and useful characteristics of classification systems in both theory and practice.",Cluster 0
