,Lens ID,Document Case,Abstract,Abstract_trim_2_string
10,122-703-378-850-053,Train Case,"Intended is first of all a preliminary review of the implications that the new approaches to the theory of classification, mainly from Cognitive Psychology and Epistemology may have for information work and research. As a secondary topic the scientific relations existing among Information Science, Epistemology, and the Cognitive Sciences are discussed. Classification is seen as a central activity in all daily and scientific activities, and, of course, of knowledge organization in information services. There is a mutual implication between classification and conceptualization, as the former moves in a natural way to the latter and the best result elaborated for classification is the concept. Research in concept theory is a need for a Theory of Classification. In this direction it is of outstanding importance to integrate the achievements of natural concept formation theory (NCFT) as an alternative approach to conceptualization different from the traditional one of logicians and problem solving researchers. In clonclusion both approaches are seen as being complementary: the NCFP approach being closer to the user and the logical one being more suitable for experts, including expert systems",intend first preliminari review implic new theori mainli cognit psycholog epistemolog research secondari topic scientif relat exist among epistemolog cognit discuss seen central activ daili scientif activ cours servic mutual implic conceptu former move natur latter best result elabor concept research concept theori theori direct outstand import integr achiev natur concept format theori altern conceptu tradit logician problem solv research clonclus seen complementari ncfp closer logic suitabl expert expert system
11,131-111-699-854-730,Train Case,"Knowledge organization in real world situations is a complex task relying on a vast body of knowledge from theories, disciplines, professions, and cultures. This diversity requires a particular instructional design for developing competence in this field. The main features of this design are: real world approach, critical incident analysis, the work on interdependent tasks as a problem-solving method, implementation of solutions, permanent evaluation. It is proposed that documentation of critical incidents, solutions and implementation results serve as a base for establishing knowledge organization as a new interdisciplinary field",world situat complex task reli vast bodi theori disciplin profess cultur divers requir particular instruct design compet main featur design world critic incid analysi interdepend task problem solv method implement solut perman evalu propos document critic incid solut implement result serv establish new interdisciplinari
12,149-853-331-952-574,Train Case,"This article presents a new taxonomy or designators (a.k.a. designations), covering terms, symbols and ordinals. Although ordinals are widely used, they have not been conceptualized in terminology literature as designators per se. Each category is broken down according to the basic form of the designator. Term types are monomials, polynomials, and initialisms. Symbol types are alphabetic and graphic. And ordinal types are alphabetic and numeric. Combinations (hybrids) of these types are also discussed. The proposed terms and concepts are contrasted with those in ISO 1087 (Terminology-Vocabulary, 1990) and approximately 48 terms are defined",articl new taxonomi design design cover symbol ordin although ordin wide use conceptu terminolog literatur design categori broken accord basic form design type monomi polynomi initi symbol type alphabet graphic ordin type alphabet numer combin hybrid type discuss propos concept contrast iso terminolog vocabulari 1990 approxim defin
13,159-341-018-942-277,Train Case,The perspectives of reorganization of the Library-Bibliographical Classification (LBC) are described. The possibilities of a transformation of this classification system into a scientifically based «knowledge base» for traditional and electronic catalogues are shown. Difficulties and obstacles in pursuing the completion of LBC reconstruction are expounded,perspect reorgan bibliograph lbc describ possibl transform system scientif tradit electron catalogu shown difficulti obstacl pursu complet lbc reconstruct expound
14,165-166-377-215-209,Train Case,"It has rarely been seen as a task for art history to give systematic, consistent and detailed access to the subject matter of large numbers of historical images. This lack of systematic documentation severely handicaps all historical research that involves the interpretation of iconographic detail. It leaves us unable to count the frequency with which subjects have been represented, or with which iconographic particularities occur. This article asks whether the use of the iconographic classification system ICONCLASS will help to create countable iconographic information. Its first part deals with the considerations that have guided the shape of the computer edition that has recently been made available. These may be relevant for the electronic publication of classification systems in general. In the second part a few statement about gestures are analyzed against the background of an existing corpus of systematically described images . This analysis draws attention to the paradox that iconographic detail often plays a key role in art historical discourse, but must do so on the basis of incidental information",rare seen task art histori give systemat consist detail access matter larg number histor imag lack systemat document sever handicap histor research involv interpret iconograph detail leav unabl count frequenc repres iconograph particular occur articl ask whether use iconograph system iconclass help creat countabl iconograph first deal consider guid shape comput edit recent made avail relev electron public system gener second statement gestur analyz background exist corpu systemat describ imag analysi draw attent paradox iconograph detail often play key role art histor discours must basi incident
15,000-189-988-224-76X,Train Case,"A unifying theory has been developed that draws together a compatible set of methods for classification, and shows why others should be rejected. The methods reveal polythetic groups and sequences, and evaluate the quality and the best identifying characters for each group. The theory defines the rules for the fuzzy uses of 40 interacting options for group studies in a new 12 000 line FORTRAN program called Uniter, available from the author. The theory and the program's options help to show the nature of the achievements and failures of humanity's powerful grouping sense. This approach offers useful understandings in an extremely wide range of fields, examples of which are given. Both research and teaching should take account of this development",unifi theori draw togeth compat method show other reject method reveal polythet group sequenc evalu qualiti best identifi charact group theori defin rule fuzzi use interact option group new 000 line fortran program call unit avail theori program option help show natur achiev failur human power group sens offer use understand extrem wide rang exampl given research teach take account
16,003-149-126-851-754,Train Case,"Third part of a series of articles of which Pt.1 was published in KO 23(1996)No.1, p.25-33, Pt.2 in No.3, p.157-168. Pt.4 will follow in KO 24(1997)No.1. In addition to the important distinctions between the fundamental concepts and terms (tags) used in Onomantics and Terminology, as reported in the first two parts of this essay, several other interesting comparisons can be made. First, with reference to formats, both the structure and nomenclature used for terminological entries (records) in ISO 1087 parallel those found in dictionaries and suggest a semantic rather than an onomantic point of view. Second, a large number of borrowed terms taken from Lexicography and Linguistics can be found in this glossary for the terminology of Terminology. Sometimes the definitions for these terms identify them as borrowed concepts drawn from the vocabulary used by lexicographers. However, sometimes new meanings are stipulated for these terms without any markings to show that they are not borrowed concepts. Moreover, in all these cases, since the original and the newly stipulated concepts are similar, ambiguity is unavoidable. Third, some concepts that might be useful for terminologists are not included in ISO 1087: a few examples are explained. They are all concepts which lexicographers do not need and, consequently, they have no terms for them. It seems apparent that they have been omitted from the vocabulary of Terminology simply because they are new concepts without established terms. To explain the reasons for the formats, terms and omissions found in the leading glossary for the terminology of Terminology takes us into a realm of speculation that is too complicated for inclusion here, but I will discuss it in Part IV of this series, with a focus on the problems of neologisms",third seri articl publish 1996 25 follow 1997 addit import distinct fundament concept tag use onomant terminolog report first essay sever interest comparison made first refer format structur nomenclatur use terminolog entri record iso parallel found dictionari suggest semant rather onomant view second larg number borrow taken lexicographi linguist found glossari terminolog terminolog sometim definit identifi borrow concept drawn vocabulari use lexicograph howev sometim new mean stipul without mark show borrow concept moreov case sinc origin newli stipul concept similar ambigu unavoid third concept might use terminologist iso exampl explain concept lexicograph consequ seem appar omit vocabulari terminolog simpli new concept without establish explain reason format omiss found lead glossari terminolog terminolog take realm specul complic inclus discuss seri focu problem neolog
17,006-948-163-366-774,Train Case,"This paper is put up for discussion to help Knowledge Organization find its proper place. To begin with, a few basic concepts from the field of communication theory are defined. The new concepts permit the conclusion that what we are facing at present is not a flood of information but one of messages, and that this latter flood must not be equated indiscriminately with a knowledge flood. Messages must be judged on their contents. To this end, «knowledge» is subdivided into «core-», «peripheral», and «pseudo-knowledge», and it is argued that the great majority of scientific publications contains peripheral and pseudoknowledge. With the aid of two interlocking and self-amplying recursive mechanisms it is shown that and how pseudoknowledge is more and more gaining disciplines, hence precisely in those fields which deal with social problems in the broadest sense of the world; Thus a deficit of knowledge on which to base action is produced, leading to a general disorientation - a modern form of ignorance, keenly manifesting it self at present in a crisis of leadership. The research tasks resulting from the above for Knowledge Organization are roughly outlined",discuss help find proper place begin basic concept commun theori defin new concept permit conclus face flood messag latter flood must equat indiscrimin flood messag must judg content subdivid core peripher pseudo argu great major scientif public contain peripher pseudoknowledg interlock self ampli recurs mechan shown pseudoknowledg gain disciplin henc precis deal social problem broadest sens world deficit action produc lead gener disorient modern form ignor keenli manifest self crisi leadership research task result roughli outlin
18,007-412-694-977-073,Test Case,"Attention is drawn to the inadequacies ofthe existing classification schemes as pointed out by individuals and groups concerned with classification research. The article is based on an earlier study by the author, which identified and arranged in a filiatory way the main concepts of sociology and determined their relative significance as headings in a classification scheme The sociology schedule in the Dewey Decimal Classification was examined on the basis of nine evaluation criteria, as e.g. arrangement of major categories, provision for main concepts, use of phrased headings instead of individual key terms, and scattering of related concepts in the schedule. It was found that a large number of the main concepts of sociology are either not represented in the schedule or mentioned in the scope note only along with the main headings. A table shows one hundred main concepts of sociology arranged and classified within ten major categories or sections, and their provision in the DDC. The study suggests that the DDC needs serious reconsideration with regard to the main headings/categories provided as class headings, terminology used for the concepts, the filiatory structure adopted, and the representation of the main concepts of sociology.",attent drawn inadequaci ofth exist scheme individu group concern research articl earlier identifi arrang filiatori main concept sociolog determin rel signific head scheme sociolog schedul dewey decim examin basi nine evalu criteria arrang major categori provis main concept use phrase head instead individu key scatter relat concept schedul found larg number main concept sociolog either repres schedul mention scope note along main head tabl show hundr main concept sociolog arrang classifi major categori section provis suggest seriou reconsider regard main head categori class head terminolog use concept filiatori structur adopt represent main concept sociolog
19,010-165-399-327-919,Train Case,"As a result of the transition to full-text storage, multimedia and networking, information systems are becoming more efficient but at the same time more difficult to use, in particular because users are confronted with information volumes that increasingly exceed individual processing capacities. Consequently, there is an increase in the demand for user aids such as summarising techniques. Against this background, the interdisciplinary Dagstuhl Seminar Summarising Text for Intelligent Communication, (Dec. 1993) outlined the academic state of the art with regard to summarising (abstracting) and proposed future directions for research and system development",result transit full text storag multimedia network system becom effici time difficult use particular confront volum increasingli exceed individu process capac consequ increas demand aid summaris techniqu background interdisciplinari dagstuhl seminar summaris text intellig commun 1993 outlin academ state art regard summaris abstract propos futur direct research system
20,012-629-049-920-451,Train Case,"In the literature of knowledge organization, metaphors and images such as 'tree ofknowledge', 'map ofknowledge' or the 'world as a network' play an important role. This imagery - although not yet thoroughly documented - should be examined from the various points of view of epistemology, the typology ofmetaphors, discourse analysis, metaphorology and iconography. The crucial point : Not only knowledge as such, but also its organization, is an essential part of our cultural heritage. (Author)",literatur metaphor imag tree ofknowledg map ofknowledg world network play import role imageri although thoroughli document examin variou view epistemolog typolog ofmetaphor discours analysi metaphorolog iconographi crucial essenti cultur heritag
21,013-302-417-490-03X,Train Case,"This paper introduces a scheme for classifications of concepts. It is founded on the triplet model of concepts. 'This model depicts a concept by means of three kinds of knowledge: a concept base, a concept-representing part and the linkage between them. Informally, the concept base deals with entities subsumed under a concept and their properties and relations. The concept-representing part deals with tools and forms of representing these entities and their properties and relations in some intelligent system. The linkage deals with establishing the proper correspondences between components of the base and the representing part. Each of these knowledge kinds is associated with specific structures related to concepts (symbols, names, statements, images, texts, entities and their properties and relations, procedures of determination of property values, etc.). Various informal and formal (mainly set-theoretical) specifications of these structures serve as criteria for triplet classifications of concepts",introduc scheme concept found triplet model concept model depict concept mean kind concept concept repres linkag concept deal entiti subsum concept properti relat concept repres deal tool form repres entiti properti relat intellig system linkag deal establish proper correspond compon repres kind associ specif structur relat concept symbol name statement imag text entiti properti relat procedur determin properti valu variou formal mainli theoret specif structur serv criteria triplet concept
22,013-594-974-562-515,Train Case,"Recently, a new book on knowledge organization has been published by Greenwood Press. The title is Information seeking and subject representation: An activity-theoretical approach to information science. This book presents a new general theory for information science and knowledge organization, based on a theory of infomation seeking. The author is Dr. Birger Hjorland, Royal School of Library and Information Science. In 1994, he presented his work on theory for KO at the 3 rd International ISKO conference in Copenhagen (Hjorland, 1994). The book aims to provide both a new understanding for the foundations of information science and knowledge organization, and to provide new directions in research and teaching within these fields. KO (Hanne Albrechtsen) has interviewed Birger Hjorland in Copenhagen about his views on knowledge organization and subject representation",recent new book publish greenwood press titl seek represent activ theoret book new gener theori theori infom seek birger hjorland royal school 1994 theori intern isko confer copenhagen hjorland 1994 book aim new understand foundat new direct research teach hann albrechtsen interview birger hjorland copenhagen view represent
23,019-135-892-010-245,Train Case,"The user of documents, e.g. of a library, faces the task of exploring the data fundus and of selecting information according to his actual intentions. He even may find or happen to find new aspects and, following these, will further develop his original quest. How can the user be supported by PC-based procedures? Recently at the Institute of Philosophy, University of Innsbruck/Austria, the GABEK method (Ganzheitliche Bewaltigung sprachlich erfasster Komplexitat) was developed. It has proved useful so far in similar cases of ordering and/or retrieving information; especially to build hidden order structures and to incorporate them into information processing and storage facilities",document face task explor data fundu select accord actual intent even find happen find new aspect follow origin quest support procedur recent institut philosophi univers innsbruck austria gabek method ganzheitlich bewaltigung sprachlich erfasst komplexitat prove use far similar case order retriev especi build hidden order structur incorpor process storag facil
24,024-276-265-590-973,Train Case,"General linguistic and specific semantic problems arising in multilingual thesaurus construction are well defined in the various textbooks and in the guidelines covering this area. Many details are provided on the conceptual equivalence issue, and various ways of dealing with conceptual divergence are described. But when discussing semantic solutions, display options, management issues, or use of technology, specialists and guidelines seldom, if ever, go as far as commenting on whether or not a particular option is truly respectful of a language and its speakers. This paper, based on the premise that in a multilingual thesaurus all languages are equal, reviews the options and solutions offered by the guidelines to the developer of specialized thesauri. It also introduces other problems of a sociocultural, and even of a truly political nature, a prominent feature in the daily life of the thesaurus designer with which the theory and the guidelines do not deal very well",gener linguist specif semant problem aris multilingu thesauru construct defin variou textbook guidelin cover area mani detail conceptu equival issu variou deal conceptu diverg describ discuss semant solut display option manag issu use technolog specialist guidelin seldom ever far comment whether particular option truli respect languag speaker premis multilingu thesauru languag equal review option solut offer guidelin special thesauri introduc problem sociocultur even truli polit natur promin featur daili life thesauru design theori guidelin deal
25,025-107-741-251-630,Train Case,"Starting out from Descartes' and Leibniz' idea of a mathesis universalis the achievements of modem mathematics are divided into three major parts: The creation of algorithms, the invention of proofs, and the application of mathematics to the description of nature. This applicability has repeatedly been viewed as being just a miracle. One major idea to diminsh the miraculous impression was to view mathematics as exploring the vast area ofall kinds ofabstract structures, thus establishing a huge store of humanly possible thinking from which the physicist has only to choose the structure appropriate for the case before him. There remains, however, the problem of mathematical overdetermination ofphysics: the structures suitable for application usually contain mathematical elements that remain without physical interpretation. The true miracle then seems to be that it is often very difficult, if not impossible, to eliminate those uninterpreted elements from physical theory.",start descart leibniz idea mathesi universali achiev modem mathemat divid major creation algorithm invent proof applic mathemat descript natur applic repeatedli view miracl major idea diminsh miracul impress view mathemat explor vast area ofal kind ofabstract structur establish huge store humanli possibl think physicist choos structur appropri case remain howev problem mathemat overdetermin ofphys structur suitabl applic usual contain mathemat element remain without physic interpret true miracl seem often difficult imposs elimin uninterpret element physic theori
26,030-929-233-804-44X,Train Case,"The vast majority of publications in language theory and philosophy start with the language as the given and ask about their structures, about the meaning of their words and about the correct interpretation of texts. This paper approaches the language problem from just the opposite side: the given is here a certain content; what is sought for, is an appropriate artificial language to represent this content. To this end, seven elementary representation principles are proposed. To illustrate the way they work, syntactic pattern recognition is introduced as a simple, but non-trivial example for representing knowledge in formal language. Another central thema of the paper is LEIBNIZ's characteristica universalis and the so-called LEIBNIZ project. LEIBNIZ's investigations in this field are reviewed against the background of the tasks required in syntactic pattern recognition. It is demonstrated that LEIBNIZ had, in fact, already worked with six ofthe seven representation principles proposed, further, that his characteristica universalis is an early form of a formal language, and lastly, that - contrary to the prevailing view - the LEIBNIZ project is not a matter of logic but rather one of knowledge representation, a field largely unexploited in today's logic-oriented epistemology and philosophy of science. It is precisely this one-sided orientation of these disciplines, which is responsible for the distorted picture of LEIBNIZ's work found in the literature; some typical misunderstandings are finally discussed. (Author)",vast major public languag theori philosophi start languag given ask structur mean word correct interpret text languag problem opposit side given certain content sought appropri artifici languag repres content seven elementari represent principl propos illustr syntact pattern recognit introduc simpl trivial exampl repres formal languag anoth central thema leibniz characteristica universali call leibniz project leibniz investig review background task requir syntact pattern recognit demonstr leibniz fact alreadi ofth seven represent principl propos characteristica universali earli form formal languag lastli contrari prevail view leibniz project matter logic rather represent larg unexploit logic orient epistemolog philosophi precis side orient disciplin respons distort pictur leibniz found literatur typic misunderstand final discuss
27,032-920-635-083-229,Train Case,"The typology of texts in which terms are functioning has been developed. This typology includes texts using terms, texts fixing them, and as well as texts in which terms appear for the first time. The characteristics of such texts are enumerated: coherency, communicative address, etc. Two approaches to studying terms are described: 1. from term to the text, 2. from text to the term",typolog text function typolog text use text text appear first time characterist text enumer coher commun address describ text text
28,033-709-183-964-289,Train Case,"By analyzing the source documents and their references by classification systems researchers in the world, this paper presents core journals of the field during the period 1981-1990. The findings show that journal literature in this study confirms to Bradford's law and provides Cataloging & Classification Quarterly (CCQ) as the most productive journal, Library Resources & Technical Services (LRTS) as the most frequently cited journal of the field and Knowledge Organization (KO),formally International Classification (IC) as the second productive and frequently cited journal of the field. The principal journals publishing source items differs from those used as reference sources of the field",analyz sourc document refer system research world core journal period 1981 1990 find show journal literatur confirm bradford catalog quarterli product journal resourc technic servic frequent cite journal formal intern second product frequent cite journal princip journal publish sourc item use refer sourc
29,036-149-448-029-082,Test Case,"The Indexing Branch of the National Agricultural Library (NAL) has launched a project to move from their traditional one-on-one method of training novice indexers to a computer-based, largely self-directed training program. CAIT, the Computer-Assisted Indexing Tutor, has been designed to standardize, streamline and improve the quality of indexer training. In addition, to support the increased need for all NAL indexers to more fully utilize microcomputers for indexing production, the Branch investigated the reinvention of paper versions of frequently used indexing tools as electronic references.",branch nation agricultur nal launch project move tradit method train novic comput larg self direct train program cait comput assist tutor design standard streamlin improv qualiti train addit support increas nal fulli util microcomput product branch investig reinvent version frequent use tool electron refer
30,038-170-805-379-451,Train Case,"Knowledge engineering anticipated by Leibniz in such projects as ideal language for science reasoning automata, library organization, etc. owes to him philosophical presuppositions as to the scope of possible automation. The paper deals with an ambiguity in his position. His attitude as an engineer implies hard AI (as represented by A. Turing) while his metaphysical insights involve an insuperable physical difference between organisms and artificial machines, which is highly relevant to efficiency ofinformation processing (this physicalism claiming the import of hardware, accords with J. von Neumann's insights). The paper's sections: 1. Leibniz vs. Descartes in views on knowledge. 2. On physicalism and antiphysicalism in logic. 3. Turing's claim as to the insignificance of hardware. 4. Von Neumann's claim as to the significance of hardware. 5. Why Leibniz would not have accepted logical physicalism. 6. Why Leibniz would have accepted logical physicalism. (Author)",engin anticip leibniz project ideal languag reason automata philosoph presupposit scope possibl autom deal ambigu posit attitud engin impli hard ai repres ture metaphys insight involv insuper physic artifici machin highli relev effici ofinform process physic claim import hardwar accord neumann insight section leibniz descart view physic antiphys logic ture claim insignific hardwar neumann claim signific hardwar leibniz accept logic physic leibniz accept logic physic
31,038-455-032-007-224,Train Case,"Description of the history and development of the home-made Regensburg Classification Scheme since 1964 and its notation which has been built according to the one of the Library of Congress. Although not intended in the beginning, the Scheme has become the common tool for a number of Bavarian libraries since 1970 and also of libraries in Switzerland (since 1986) and the so called new German states (after 1990). The individual schedules are listed and also the classification aids published with the Scheme's progressing. Concludingly future plans are outlined. (K.O.)",descript histori home made regensburg scheme sinc 1964 notat built accord congress although intend begin scheme becom common tool number bavarian sinc 1970 switzerland sinc 1986 call new german state 1990 individu schedul list aid publish scheme progress concludingli futur plan outlin
32,044-258-524-068-132,Test Case,"In China, the Dewey Decimal Classification (DDC) is one of the most influential classifications. It had a great impact on the development of Chinese classification. A comparison between DDC and three representative Chinese classifications corresponding to ancient, modern and contemporary times, illustrate the influence of DDC on Chinese classifications. The celebration of the 120th anniversary of the DDC is a good time to review its introduction, application, development and impact in China.",china dewey decim influenti great impact chines comparison repres chines correspond ancient modern contemporari time illustr influenc chines celebr anniversari time review introduct applic impact china
33,050-962-085-082-050,Train Case,"From the viewpoint of the Kuhnian scientific revolution, paradigms of knowledge organization are examined. As an influential achievement, Faceted Classification is qualified as a paradigm today and tomorrow. Three features of the paradigm, i.e. features in theory, cognition, and methodology, are described, along with a critical overview of research and practice in our field",viewpoint kuhnian scientif revolut paradigm examin influenti achiev facet qualifi paradigm tomorrow featur paradigm featur theori cognit methodolog describ along critic overview research practic
34,054-597-134-280-815,Train Case,"The rapid evolution of hypermedia technology makes it possible to access an immense volume of information in an educational setting, This research examines the relationship between individual differences (in particular, cognitive styles) and navigation strategies using a WWW-based hypermedia learning system. The hypermedia learning system was used at Sheffield University's Department of Information Studies. Twenty Masters students were pre-tested for their cognitive styles. Dependent variables included navigation patterns, selection of navigation tools, and reactions to the hypermedia system. The results indicated that students with differing cognitive styles and individual characteristics selected different access facilities and applied different navigation patterns. The implication of these findings and the role of individual differences in designing hypermedia-based learning systems are discussed.",rapid evolut hypermedia technolog make possibl access immens volum educ set research examin relationship individu particular cognit style navig strategi use hypermedia learn system hypermedia learn system use sheffield univers depart twenti master student test cognit style depend variabl navig pattern select navig tool reaction hypermedia system result indic student cognit style individu characterist select access facil appli navig pattern implic find role individu design hypermedia learn system discuss
35,056-146-827-136-55X,Train Case,"The classification system of the Warburg Institute library, London, UK, is considered. First, a brief review of the scholarly work of Aby Warburg and the history of this library is given to illustrate the background of the classification. The classification is described and its basic features are clarified with examples. Finally, the classification of the Warburg Institute library is contrasted with ordinary classification thinking in library and information science",system warburg institut london uk consid first brief review scholarli abi warburg histori given illustr background describ basic featur clarifi exampl final warburg institut contrast ordinari think
36,057-453-531-906-267,Train Case,"The paper focusses on the practical issues of institutions and resources relating to a conference held in November 1994 on the topic, organized by the American Council of Learned Societies (ACLS) which embraces the U.S. scholarly community in the humanities and social sciences. The results of statements of conference participants on the internationalization of its activities and on the internationalization of scholarship in their fields have been summarized here.",focuss practic issu institut resourc relat confer held novemb 1994 topic american council learn societi acl embrac u scholarli commun human social result statement confer particip internation activ internation scholarship summar
